stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 14-21,0,5,1,1,0,0,0,0,0,0,2,5,1,0,0,2,1,1,0,0,0
 24-34,0,6.57,0,0.82,0,0,0,0,0,0,0,7.39,0,0,0,0,0,2.46,0.82,0,0.82
 36-46,0,1.61,0,0,0,0,0,0.81,0,0,0.81,13.7,0,0,0,0,0,3.22,0,0,0
 48-58,0,1.72,0,2.3,0,1.72,0,0,0,0.57,1.15,11.48,0,0,0,0,0,0.57,0,0,0
 60-70,0,3.93,0,2.94,0,0,0,0,0,0,0.98,12.76,0,0,0,0,0,0.98,0,0,0
 72-82,0,12.76,0,0.98,0,0,0,0,0,0,0.98,11.78,0,0,0.98,0,0,2.94,0,0,0
 84-94,0,11.68,0,1.06,0,0,3.19,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0
 96-106,0,13.11,0,2.19,0,0,1.09,1.09,0,0,2.19,4.37,0,0,2.19,0,0,0,0,0,0
108-118,0,12.26,1.53,2.3,0,0.77,2.3,0,0.77,0,0,6.89,0,0,0.77,0,0,0,0,0,0
120,0,17.64,3.92,3.92,1.96,0,1.96,0,0,1.96,1.96,3.92,0,0,0,0,0,0,0,1.96,0
