stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,1515.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,1434.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,24.52,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,52.57,44.69,0,57.83,0,0,92,0,0,0,0,49.95,0,0,0,0,0,0,0,0,980.51,55.2,0,0,370.65,5.26,5.26,0,2.63,0,0,0,0,0,0,0
 10-12,0,25.18,0,47.2,0,12.59,66.09,0,0,0,0,12.59,0,0,0,0,3.15,0,0,3.15,830.8,28.32,0,0,336.73,3.15,0,0,25.18,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,13,2,6,0,0,0,0,0,0,0,0,0,0,1,0,0,37,0,0,2,0,0,0,6,1,1,3,15,0,0,0,0
 24-34,0,0,0,0,2.46,2.46,4.1,0,0,0,2.46,0,0,0,0,0,0,6.57,0,1.64,66.49,0,0,1.64,0,1.64,0,0,0,0,0.82,11.49,0,0.82,0,0.82
 36-46,0,0,0,0,3.22,0,7.25,0,0,0,1.61,0,0,0,0,0,0,9.67,0,1.61,49.95,1.61,0,0,0,2.42,0,0,0,0,0,17.72,0,1.61,0,0
 48-58,0,0,0,0,0.57,0,12.05,0,0.57,1.15,3.44,0,0,0,0.57,0,0,9.18,0,2.87,43.61,0.57,0,0,0,0.57,0,0,0,0,0,14.92,0,1.72,0,0
 60-70,0,0,0.98,0,0.98,0,10.8,0.98,0.98,0,4.91,0,0.98,0,0,0,0,9.82,0.98,0.98,46.13,0,0.98,0,0,1.96,0,0,0,0,0,6.87,0,0.98,0,0
 72-82,0,0,0,0,1.96,0,7.85,0,0,0.98,4.91,0,0,0,0,0.98,0,10.8,0.98,0.98,24.54,0,0,0,0,1.96,0,0,0,0,0,0,0.98,0,0,0.98
 84-94,0,0,0,0,2.12,1.06,6.37,0,1.06,0,2.12,0,0,0,0,0,0,9.56,1.06,2.12,16.99,0,0,0,0,1.06,0,0,0,0,0,1.06,1.06,0,1.06,0
 96-106,0,0,0,0,1.09,0,2.19,0,0,2.19,3.28,0,0,1.09,0,0,0,13.11,1.09,2.19,14.21,0,1.09,0,0,1.09,0,0,1.09,0,0,0,0,0,1.09,0
108-118,0,0,0,0,6.13,0,6.13,0,0.77,0.77,0.77,0,0.77,0,0,0,0.77,6.13,0,3.83,11.49,0,0,0,0,2.3,0,0,0,0,0,0,0,1.53,0,0.77
120,0,0,1.96,0,3.92,0,1.96,0,0,0,5.88,0,0,0,0,0,0,3.92,0,1.96,13.72,1.96,0,0,0,5.88,0,0,0,0,0,0,0,0,0,1.96
