stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,melanocytes,mesenchyme,muscle,neural,notochord,otic,periderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
 14-21,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,1.61,0.81,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,1.72,0.57,0,0.57,2.3,0,0,0,0,0,0.57,0,0
 60-70,0,0.98,0,0,0,0,0,0.98,0,0,1.96,0,0,0,0.98,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,3.93,0.98,0.98,0,0,0,0.98,3.93,0,0.98,0,1.96,0,0.98,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,4.25,0,0,0,1.06,0,0,0,0,0,0,0,1.06
 96-106,0,1.09,0,0,0,0,0,1.09,0,0,3.28,1.09,1.09,0,2.19,0,0,0,0,0,0,0,0
108-118,0,3.06,0,0,0,0,0.77,0.77,0,0,3.06,0,0,0.77,0,0,0,0,0,0,1.53,0,0
120,1.96,5.88,0,0,0,0,0,0,1.96,0,5.88,1.96,1.96,1.96,1.96,0,1.96,0,0,0,0,0,0
