stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,1080.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,324.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,7.89,0,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,68.35,10.51,0,0,31.54,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,37.76,0,6.29,0,12.59,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,226.58,12.59,0,0,100.7,0,0,6.29,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,1,7,41,17,0,23,0,1,0,12,8,4,0,0,1,0,0,0,0,39,0,0,26,350,25,0,4,7,0,4,1,67,4,4,72,118,0,7,0,2
 24-34,0,0,0.82,2.46,15.6,2.46,0,53.36,0,1.64,4.1,16.42,0.82,0,4.1,0,2.46,0.82,0,0,0.82,100.14,0.82,0,47.61,444.9,9.03,0.82,5.75,0,0,9.85,0,0.82,5.75,3.28,18.88,130.52,0,18.06,0,2.46
 36-46,0,0,0.81,0,6.45,3.22,0,62.84,0,0,9.67,34.64,2.42,0,2.42,2.42,0.81,0,0.81,0.81,3.22,115.21,0,2.42,34.64,265.87,4.83,4.03,7.25,0,0.81,4.83,0,0,2.42,1.61,0,83.79,0,15.31,0,2.42
 48-58,0.57,0,0,1.15,2.3,1.15,0,45.33,2.3,1.72,9.18,39.02,0,1.72,1.72,2.3,0.57,1.72,1.15,2.3,1.15,137.71,1.15,3.44,20.66,100.99,1.72,0.57,5.16,0,0.57,2.3,0,0,1.15,0.57,0,47.63,1.15,8.61,0,8.61
 60-70,0,0,0,0,5.89,0.98,0,40.24,0.98,0.98,8.83,53,0,0,4.91,0.98,0,0.98,1.96,0,0,176.67,0,3.93,12.76,44.17,1.96,3.93,3.93,0,0.98,0.98,0,0,1.96,2.94,0,17.67,6.87,7.85,0.98,4.91
 72-82,0,0,1.96,0,7.85,27.49,0,33.38,0,0,12.76,91.29,5.89,1.96,8.83,8.83,2.94,2.94,6.87,0.98,1.96,381.87,2.94,8.83,27.49,65.77,0.98,2.94,18.65,0,0.98,3.93,0,0,5.89,0.98,0,7.85,5.89,25.52,6.87,6.87
 84-94,0,0,2.12,0,14.87,18.05,1.06,54.16,1.06,4.25,11.68,44.61,8.5,3.19,2.12,14.87,2.12,8.5,3.19,4.25,2.12,259.14,2.12,13.81,13.81,57.35,4.25,1.06,13.81,0,4.25,7.43,0,0,2.12,1.06,0,13.81,11.68,30.8,12.74,6.37
 96-106,0,0,3.28,0,24.04,29.51,0,46.99,3.28,2.19,9.84,65.57,4.37,0,2.19,22.95,2.19,6.56,7.65,2.19,1.09,231.68,2.19,9.84,14.21,68.85,4.37,3.28,10.93,0,6.56,12.02,0,0,5.46,1.09,0,12.02,9.84,29.51,10.93,7.65
108-118,0,0,1.53,0,20.68,16.85,0.77,48.26,0,10.72,14.55,71.23,3.06,0,4.6,12.26,3.06,12.26,4.6,6.13,3.83,233.62,1.53,5.36,18.38,78.89,9.19,4.6,19.15,0,1.53,5.36,0,0,5.36,3.83,0,9.19,7.66,32.94,9.96,6.89
120,0,0,0,0,37.24,15.68,1.96,29.4,1.96,11.76,13.72,60.75,5.88,0,0,13.72,5.88,7.84,1.96,1.96,1.96,178.34,0,9.8,9.8,60.75,5.88,5.88,11.76,1.96,3.92,11.76,0,0,3.92,1.96,0,1.96,9.8,25.48,1.96,1.96
