stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,21.03,0,0,0,15.77,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,3.15,0,0,28.32,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,19,6,2,0,0,73,0,0,0,0,0,0,1,14,0,0,0,86,4,2,23,6,2,1,7,70,1,2,228,0,0,0,0
 24-34,0,0,0,1.64,1.64,0,4.93,0,0,48.43,0,0,0,0,0,0,1.64,7.39,0,0,1.64,77.98,0.82,18.06,2.46,0,0,0,0,21.34,0,1.64,110.82,0,0,2.46,5.75
 36-46,0,0,0,0,0.81,0,12.09,0,0,45.92,0,0,0,0,0,0,5.64,9.67,0,0,0.81,87.82,0,22.56,0,0,0,0,0,12.09,0,0,93.46,0,0,0,9.67
 48-58,0,0,0,0,1.15,0,55.09,0,0,40.17,0,0,0,0,0.57,0.57,4.59,8.61,0,0,0.57,64.27,0,13.77,2.3,0,0,0,0,5.74,0,0,70,0,0,1.15,16.07
 60-70,0,0,0,0,1.96,0,201.21,0,0.98,38.28,0,0,0,0,0.98,0,5.89,13.74,0,0.98,0.98,69.69,0,15.7,6.87,0,0.98,0,0,1.96,0,0,29.45,0,0.98,0,11.78
 72-82,0,0,4.91,0,1.96,0,184.55,0,0,43.19,0.98,0,0.98,0,7.85,0,3.93,10.8,0,0.98,0,46.14,0,37.3,12.76,0,0,0,0,1.96,0,0,18.65,0,0,0,12.76
 84-94,0,0,2.12,1.06,0,0,169.93,0,1.06,29.74,2.12,0,0,0,5.31,0,9.56,8.5,1.06,0,2.12,25.49,0,20.18,23.36,0,0,1.06,0,4.25,0,0,18.05,0,1.06,0,14.87
 96-106,0,0,3.28,1.09,1.09,0,78.68,0,1.09,30.6,2.19,0,0,0,13.11,0,9.84,6.56,1.09,1.09,1.09,18.58,0,36.06,28.41,0,1.09,0,0,3.28,0,0,16.39,0,0,0,14.21
108-118,0,0,3.06,2.3,0.77,0.77,40.6,0.77,0,13.79,0,0,0,0.77,8.43,0.77,9.96,5.36,0,0,2.3,35.23,0,23.74,18.38,0,0,0,0,5.36,0,0,12.26,1.53,0,0,32.17
120,0,0,0,1.96,0,1.96,33.32,0,0,9.8,0,0,0,0,3.92,0,0,0,0,0,0,25.48,0,9.8,17.64,0,0,0,0,3.92,0,0,11.76,0,0,1.96,11.76
