stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,6,1,0,2,1,0,4,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0.82,0,0,0,2.46,0.82,15.6,0,0,0,0,0,1.64,0,0
 36-46,0,0,0,0,1.61,0,0,0.81,0,0,0,0,0,0,0,19.34,0,0,0,0,0,4.03,0,0
 48-58,0,0,0,0,2.87,0,0,1.15,0,0,0,0,0,0.57,0,10.9,0.57,0,0,0,0.57,0.57,0.57,0
 60-70,0,0,0,0,1.96,0,0,4.91,0,0,0.98,0.98,0.98,2.94,0,2.94,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0.98,0.98,0,1.96,0,0,0,0,0,0,0.98,5.89,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,1.06,1.06,0,0,0,1.06,0,0,0,0,0,1.06,4.25,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,2.19,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0.77,0,0,1.53,0,0,0.77,0,0,1.53,0.77,1.53,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0
