stage,epidermis,eye,fin.epithelia,glial,hatching.gland,immune,iridophores,lateral.line,mesenchyme,muscle,neural,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,2,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,28.73,0,1.64,2.46,0,0
 36-46,0,3.22,0,0.81,0.81,0,0,0,1.61,0,53.17,0,0.81,3.22,0,0
 48-58,0,5.16,0,0.57,0,0,0.57,0,2.87,0,32.71,0,0,2.87,0,0
 60-70,0,7.85,0,0.98,0,0,0,0.98,3.93,0.98,16.69,0.98,0.98,0.98,0.98,0
 72-82,0,0.98,0,0.98,0,0.98,0,0,0,0,2.94,0,0,0,0,0
 84-94,0,0,0,2.12,0,0,1.06,0,2.12,0,1.06,0,1.06,0,0,0
 96-106,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0.77,0.77,0,0,0,0,0,0,0,2.3,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
