stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,5,0,0,0,0,0
 24-34,0,0,0,8.21,0,0,3.28,0,0,0,0,0,0,0,0,0.82,0,0,0,82.09,0,0,0,0,0,12.31,0,0,0,0,0
 36-46,0,0.81,0,13.7,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0,99.1,0,0,0,0,0,16.92,0,0,0,0,0
 48-58,0,0,0,130.25,0.57,0,11.48,0,0,0,0,0,0.57,0,0,8.61,0,0,0.57,165.26,0,0.57,0,0,1.15,20.08,0,0,0.57,0,0.57
 60-70,0,1.96,0,370.03,0,0,20.61,0,0,0,0,0,0,0,0,4.91,0.98,0.98,0.98,319.98,0,0.98,0,0,0.98,26.5,0,0.98,0,0,0
 72-82,0,2.94,0.98,379.9,0,0,32.39,0,0,0,0.98,0,0.98,0,0.98,16.69,0,0,2.94,420.15,0,0.98,0.98,0,0.98,21.6,0.98,0,1.96,0.98,2.94
 84-94,0,5.31,0,206.04,1.06,2.12,21.24,1.06,0,0,1.06,0,1.06,0,0,15.93,0,3.19,1.06,216.66,0,0,3.19,0,2.12,12.74,0,2.12,1.06,2.12,1.06
 96-106,0,5.46,2.19,168.3,0,1.09,12.02,0,0,0,1.09,1.09,1.09,1.09,2.19,22.95,0,0,1.09,213.11,0,1.09,5.46,0,1.09,7.65,0,0,0,1.09,0
108-118,0,3.06,3.83,140.17,0,0,13.79,0,0,0.77,0,0,0.77,0,0,5.36,0,0.77,0,180.77,0,0,7.66,0,0,6.13,0,0,0,0.77,0
120,0,3.92,1.96,103.87,0,0,19.6,0,0,0,0,0,0,1.96,0,5.88,0,0,1.96,248.89,0,0,5.88,0,3.92,5.88,0,1.96,0,0,0
