stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,8,0,0,0,0,1,4,0,0,0,0,0
 24-34,0,0,0.82,0.82,0.82,0,2.46,0,0.82,0,0,0,0,0,0,0,0,0,0,4.93,0,0,0,33.66,0,0,0.82,0.82,0.82,9.03,0,0,4.1,0,0
 36-46,0,0,0,0,0,0,7.25,0,0.81,0,1.61,0,0,0,0,0,0.81,0,0,6.45,0,0,0,41.89,0,3.22,0.81,0.81,0,11.28,0,0,0.81,0,1.61
 48-58,0,0,0,0,0.57,0,13.77,0,0.57,0,2.3,0,0,0,0.57,0,0,0,0,7.46,0,0,1.72,55.09,0,1.15,0,0.57,0,14.35,0,0,1.15,0,1.15
 60-70,0,0,0,0,2.94,0,56.93,0.98,0.98,0.98,14.72,0,0,0.98,0,0,0,0,0.98,13.74,0,0,1.96,133.49,0,1.96,0,1.96,0,22.58,0,0,0.98,0,0
 72-82,0,0,0,0,0.98,2.94,27.49,0,0,0,6.87,0,0.98,0.98,0.98,0,0,0,0,10.8,0.98,0.98,1.96,59.88,0,0,1.96,0,0,3.93,0,0,0,0.98,0
 84-94,0,0,0,0,1.06,2.12,31.86,0,1.06,0,5.31,0,0,1.06,1.06,0,0,1.06,0,8.5,0,0,3.19,33.99,1.06,2.12,3.19,7.43,0,4.25,2.12,1.06,1.06,0,1.06
 96-106,0,0,0,0,1.09,2.19,29.51,1.09,1.09,0,7.65,2.19,0,0,1.09,0,2.19,1.09,0,12.02,1.09,0,1.09,38.25,0,1.09,1.09,8.74,0,2.19,1.09,0,2.19,1.09,0
108-118,0,0,0,0,8.43,0.77,20.68,0,1.53,1.53,6.13,0.77,0,0,2.3,0.77,0,0,0.77,8.43,0.77,0,0.77,39.83,0,0.77,0.77,3.06,0,0.77,0,0,3.83,0,0
120,0,0,0,0,13.72,0,7.84,0,0,1.96,5.88,0,0,0,0,0,1.96,0,0,5.88,0,0,0,31.36,0,0,0,5.88,0,1.96,0,1.96,1.96,0,0
