stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,12.26,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,44,0,1,0,0,0,0,1,0,1,48,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,2.46,0,0,0,0,0,1.64,0,0,0,0,2.46,0,0.82,282.37,0,23.8,0,0,0,0,0.82,0,0,83.73,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,21.75,0,0,0,0,0,0,0,0,0,0.81,1.61,0,0,582.5,0,26.59,0,0,0,0.81,0,0,0,141.8,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,52.79,0,0.57,2.87,0,0,0,0,0,0,1.15,3.44,0,0,645.53,0,18.94,0,0,0.57,0,0,0,0,144.03,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,115.82,0,0,3.93,0,0.98,0.98,0,0,0,1.96,3.93,0,0,918.7,0,25.52,0,0,0,0,0,0.98,0,142.32,0,0,1.96,0,0.98
 72-82,0,0,1.96,0,2.94,1.96,143.32,0,0,9.82,0,0,0,0,0,0,0,8.83,0,0,809.87,0,33.38,0.98,0,0,0,0,0,0,109.95,0,0,0.98,0.98,0
 84-94,0,0,1.06,0,3.19,0,100.89,0,0,19.12,2.12,0,0,0,1.06,1.06,0,11.68,1.06,1.06,401.45,0,22.3,0,0,0,1.06,0,0,0,54.16,2.12,0,1.06,0,0
 96-106,0,0,0,0,4.37,0,76.5,0,0,8.74,0,0,0,0,0,1.09,1.09,9.84,1.09,0,337.69,1.09,30.6,0,0,0,1.09,0,0,0,33.88,0,1.09,2.19,0,0
108-118,0,0,2.3,0,3.83,0.77,62.04,0.77,0,16.85,1.53,0,0,1.53,0,1.53,3.06,11.49,0,0,373.02,0,24.51,0,0,0.77,1.53,0,0,0,19.92,0,0,1.53,0,0
120,0,0,0,0,0,1.96,64.67,0,1.96,9.8,1.96,0,0,1.96,1.96,0,0,7.84,0,1.96,380.2,0,15.68,0,0,0,0,0,0,0,13.72,0,0,7.84,0,0
