stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,751.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,239.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,5.26,0,0,0,26.29,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,155.09,0,0,0,44.69,23.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,12.59,0,0,0,44.06,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,358.75,9.44,0,0,62.94,31.47,0,12.59,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,12,46,5,0,36,0,0,0,7,8,1,0,0,2,0,0,0,5,23,2,0,14,408,4,0,0,5,667,11,4,1,22,144,0,0,3,0,2
 24-34,0,0,0,2.46,11.49,0,0,34.48,0,1.64,0,6.57,1.64,0.82,0.82,0.82,3.28,0,0,4.1,5.75,22.16,10.67,0,9.03,274.99,0,5.75,2.46,0,1211.58,0,2.46,0,0.82,94.4,0,0,20.52,0,1.64
 36-46,0,0,0,0,3.22,0.81,0,62.04,0,3.22,0.81,8.86,0.81,0,0,0,0.81,0,0,0.81,4.03,16.11,8.86,0,5.64,300.51,0.81,0,0,0,1043.34,0,2.42,0,0,91.04,0,0,6.45,0,4.83
 48-58,0,0,0,0.57,11.48,1.15,0,119.35,0,10.9,0,24.67,2.87,0,0,0.57,0.57,1.72,0.57,1.15,6.31,13.77,8.03,0,2.87,538.8,0,2.87,0.57,0,868.74,0,0,0,0,122.22,0,0,5.16,0,5.16
 60-70,0,0,1.96,0,17.67,0,0,131.52,0,9.82,0.98,69.69,9.82,0,0.98,0,3.93,5.89,0.98,0,1.96,16.69,5.89,0,2.94,986.43,0,2.94,0,0,771.48,0,0.98,0,0,149.19,0,0,10.8,0,7.85
 72-82,0,0,3.93,0,51.05,1.96,0,128.6,0,21.6,0.98,155.1,22.58,0,0.98,0,8.83,2.94,1.96,0.98,5.89,38.28,9.82,1.96,3.93,786.31,0.98,2.94,1.96,0,1010.13,0,0.98,0,0,110.93,2.94,0.98,11.78,1.96,9.82
 84-94,0,0,3.19,0,79.65,3.19,0,92.4,1.06,71.16,1.06,104.08,37.17,0,0,0,33.99,8.5,1.06,4.25,4.25,19.12,20.18,3.19,4.25,398.26,0,2.12,0,0,2609.43,0,0,1.06,0,54.16,1.06,2.12,5.31,1.06,9.56
 96-106,0,0,6.56,0,134.42,4.37,0,79.78,0,87.43,1.09,110.38,60.11,0,1.09,3.28,42.62,12.02,4.37,1.09,10.93,27.32,29.51,1.09,1.09,347.53,1.09,6.56,5.46,0,2743.05,0,2.19,0,0,55.74,2.19,0,12.02,2.19,7.65
108-118,0,0,2.3,0.77,140.94,2.3,2.3,68.17,0,108.77,1.53,111.06,55.15,0,0.77,0.77,39.06,13.79,3.06,0.77,6.89,23.74,29.11,1.53,4.6,458.05,0.77,4.6,3.83,0,2184.53,0,1.53,0.77,0,28.34,3.06,0,5.36,3.83,11.49
120,0,0,3.92,0,80.35,0,0,37.24,0,64.67,1.96,94.07,52.91,0,0,1.96,19.6,5.88,3.92,0,1.96,15.68,9.8,0,3.92,370.4,0,0,1.96,0,1064.16,0,3.92,0,0,9.8,1.96,0,3.92,0,3.92
