stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,immune,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0.82,0,0,0,0.82,22.16,1.64,3.28,0.82,0,0,0,0,0,0,4.93
 36-46,0,0,0,0,0.81,0.81,0,33.03,0,4.83,0,0,0,0,0,0,0,1.61
 48-58,0,0,0,0,0,0,0,29.84,0,0,0,0,0,0,0,0.57,0,2.3
 60-70,0,0,0.98,0.98,0,0,0,30.43,0,0.98,0,0,0,0,0,0,0,1.96
 72-82,0,0,0.98,0.98,0,0,0,73.62,0,1.96,0,0,0,0,0.98,0,0,2.94
 84-94,0,0,1.06,1.06,0,1.06,0,75.4,0,0,0,0,0,0,0,0,1.06,3.19
 96-106,0,0,1.09,0,0,0,0,109.28,2.19,2.19,0,2.19,0,0,0,0,0,3.28
108-118,0,0,0,0,0,2.3,0,108,1.53,3.83,0,0,0,0.77,0.77,0,0,1.53
120,0,0,0,0,0,0,0,123.47,0,1.96,0,0,0,0,0,0,0,7.84
