stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,3.28,0,0,0,0,3.28,0,0,0,0,0
 36-46,0,0,0,0,8.06,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,8.06,0,10.47,0,0,0,0,8.06,0,0,0,0,0
 48-58,0,0,0,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,18.94,0,2.87,0,0,0,0,4.59,0,0,0,0,0
 60-70,0,0,0,0,307.22,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0,21.59,0.98,14.72,0,0,0.98,0,4.91,0,0,0,0,0
 72-82,0,5.89,2.94,0,933.56,0,0,0.98,7.85,3.93,0,0,1.96,0,0,0,11.78,0,0,2.94,49.08,0.98,14.72,0.98,0.98,1.96,0,10.8,0.98,0,2.94,0.98,1.96
 84-94,0,8.5,1.06,0,987.69,1.06,1.06,0,4.25,1.06,0,0,3.19,1.06,0,0,3.19,1.06,0,1.06,23.36,0,7.43,1.06,0,2.12,0,3.19,2.12,0,0,1.06,0
 96-106,0,12.02,5.46,0,853.51,0,3.28,0,7.65,0,1.09,0,4.37,1.09,1.09,1.09,10.93,0,2.19,2.19,36.06,0,14.21,0,0,6.56,1.09,1.09,1.09,0,3.28,0,0
108-118,0,2.3,0.77,0.77,628.09,0,0.77,1.53,6.13,0.77,0,0.77,3.83,0,1.53,0,10.72,0,0,1.53,41.36,0.77,11.49,2.3,0,4.6,0,0,0.77,1.53,0.77,0.77,0.77
120,0,11.76,0,0,658.49,1.96,1.96,1.96,0,1.96,0,1.96,3.92,0,1.96,0,5.88,0,0,1.96,37.24,0,9.8,0,0,0,0,1.96,0,0,0,0,0
