stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,474.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,12.26,416.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,6.13,18.39,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,7.89,0,0,13.14,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,165.61,2.63,0,0,36.8,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.52,0,0,0,56.65,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,58,1,0,1,0,1,0,6,1,6,25,0,1,0,0
 24-34,0,0,0,0,1.64,0,7.39,0,0.82,0,0.82,0,0,0,0,0,0,0,0.82,7.39,0,0.82,80.44,0,0.82,2.46,0,0,0,0,0,0,20.52,0,1.64,0,0
 36-46,0,0,0,0,2.42,0.81,25.78,0,0,0,1.61,0,0,0,0,0,0,0,0,12.09,0,3.22,85.4,0,0,0,0,2.42,0,0,0,0,15.31,0,0,0,0.81
 48-58,0,0,0,0,1.72,0,13.2,0,0.57,0.57,6.31,0.57,0,0,0.57,0,0,0,0,8.03,0,4.02,37.87,0,0.57,0,0,0.57,0,0,0,0,7.46,0,0,0,0
 60-70,0,0,0,0,0.98,0,13.74,0,0,0.98,2.94,0,0,0.98,0,0,0,0,0,9.82,0.98,0.98,29.45,0,0,0,0,0,0,0,0,0,3.93,0.98,0.98,0,0
 72-82,0,0,0,0,0,0,5.89,0,0,0,6.87,0.98,0,0,0,0,0.98,0.98,0,10.8,0,1.96,13.74,0,0,0.98,0,0.98,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,1.06,0,1.06,0,3.19,0,1.06,0,4.25,0,0,0,0,1.06,0,0,0,5.31,0,0,4.25,0,0,1.06,0,6.37,0,0,0,0,1.06,0,3.19,0,0
 96-106,0,0,0,0,1.09,0,2.19,1.09,0,0,4.37,0,0,0,0,0,0,0,0,7.65,0,0,4.37,0,0,0,0,2.19,0,0,0,0,1.09,0,0,1.09,0
108-118,0,0,0,0,1.53,0,1.53,0,0,0,0,0,0,0,0,0,0.77,0,0,0.77,1.53,2.3,9.19,0,1.53,0.77,0,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,5.88,0,0,3.92,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0
