stage,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
 24-34,0.82,0,0,0,0,0,0.82,0.82,0,0,0,0,0,0,0,6.57,0.82,0,0,0,1.64,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0.81,5.64,0,0,0.81,0,1.61,0.81,0,0,0
 48-58,0,1.15,0,1.15,0,0.57,0,0,0,0,0,0,1.72,0,0,0.57,0,0,0,0,1.72,0,0,0,0
 60-70,0,0,0,1.96,0.98,0,0,0,0.98,0,0,0.98,0,0,0,1.96,0,0,0,0,3.93,0,0,0,0
 72-82,0,0,0,0.98,0,2.94,0.98,0,0.98,0,0,0,3.93,0,0.98,0.98,0,0,1.96,0.98,1.96,0,0,0,0
 84-94,0,2.12,0,0,1.06,0,0,0,0,0,0,0,2.12,0,1.06,0,0,1.06,1.06,0,16.99,0,1.06,1.06,1.06
 96-106,0,3.28,0,0,0,3.28,4.37,0,4.37,1.09,0,0,1.09,0,0,2.19,0,1.09,1.09,1.09,10.93,0,0,0,0
108-118,0,5.36,0.77,0,0.77,1.53,6.89,0,6.89,1.53,0,0,0.77,0.77,0,2.3,0,0.77,0,0,13.79,0,0,0.77,0
120,0,5.88,1.96,1.96,0,0,19.6,0,5.88,0,1.96,0,5.88,0,0,1.96,0,0,1.96,0,15.68,0,0,0,0
