stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,2,1,0,0,0,0,0,0,0,0,2,0,1,2,10,0,0,0,0,1,54,0,0,0
 24-34,0,0.82,0,1.64,0,4.93,0,0,0,0,0,0.82,0,4.93,4.1,0,2.46,5.75,0,0,0,0.82,4.93,0,27.09,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,1.61,9.67,0,2.42,10.47,0,0,0,0,2.42,0,5.64,0,0,0
 48-58,0,0.57,0.57,0,0,2.87,0,0.57,1.15,0,0,0,0,1.15,24.67,0,2.3,10.33,0,0,0,0,1.15,0,4.59,0,0,0
 60-70,0,0,0,0,0,11.78,0,1.96,4.91,0,0,0.98,0,4.91,68.71,0,4.91,22.58,0,0,0,0,0,0,9.82,0.98,0,0
 72-82,0,0,0,0.98,0,27.49,0,0,5.89,2.94,0.98,0,0,2.94,78.53,0.98,2.94,20.61,0,0.98,0,0,0,0,9.82,0,0.98,0
 84-94,0,0,0,3.19,0,10.62,0,1.06,8.5,1.06,0,0,0,6.37,56.29,1.06,2.12,7.43,0,0,0,0,2.12,0,4.25,1.06,0,2.12
 96-106,0,0,0,1.09,0,13.11,1.09,0,3.28,1.09,0,1.09,1.09,7.65,42.62,1.09,1.09,6.56,0,0,0,0,1.09,0,3.28,2.19,1.09,0
108-118,0,0,0,0.77,0,8.43,0.77,0,0.77,1.53,0,0,0.77,8.43,49.02,0,2.3,16.85,0,0.77,0,0,0.77,0,0,0.77,0,0
120,0,0,0,0,0,9.8,0,1.96,0,3.92,0,0,0,7.84,35.28,0,5.88,7.84,0,3.92,0,0,0,0,1.96,0,0,0
