stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,785,4,0,9,0,22,0,0,1,0,0,0,2,0,8,0,29,2,0,41,106,1,1,10,1,0,82,0,8,2,10,53,21,0,0,0,0,0
 24-34,0,1.64,0.82,463.78,0,0,19.7,0.82,86.19,0.82,4.1,0.82,0,0.82,1.64,7.39,1.64,58.28,0.82,98.5,9.85,1.64,64.85,301.25,0,1.64,50.07,0,0.82,263.49,0,0,3.28,5.75,20.52,22.16,0,0,4.93,0,0
 36-46,0,0,0.81,194.17,0,0,29,1.61,76.54,4.83,22.56,0,0.81,0,0,5.64,0.81,49.15,0,125.68,6.45,1.61,37.06,199.81,0.81,1.61,43.51,0,0.81,295.68,0,0,0,3.22,0,37.87,0,0,2.42,0,0.81
 48-58,0,0,0,123.94,0,0,45.9,1.72,78.61,7.46,29.26,1.15,0.57,2.87,0,1.72,1.72,41.31,0,129.11,8.03,1.72,19.51,109.6,1.15,2.3,29.26,0,0.57,228.95,0,0,0,1.15,0,33.28,0,0,1.72,0,0
 60-70,0,0,0,116.8,0,0,62.82,0.98,89.32,15.7,17.67,0.98,0,3.93,0,6.87,0.98,40.24,1.96,169.8,7.85,1.96,8.83,110.91,0.98,0.98,23.56,0,0,172.75,0,0,2.94,0,0,11.78,9.82,0,0,0,0.98
 72-82,0,0,0,119.76,0.98,0,76.57,0,80.5,11.78,44.17,2.94,0,3.93,0,10.8,0,39.27,2.94,212.04,15.71,2.94,17.67,87.37,0,1.96,37.3,0,0.98,200.26,0,0,1.96,0,0,9.82,14.72,1.96,6.87,3.93,0.98
 84-94,0,0,0,201.79,2.12,0,61.6,2.12,152.93,9.56,32.92,6.37,1.06,3.19,3.19,14.87,1.06,54.16,2.12,186.92,15.93,2.12,12.74,70.09,0,3.19,58.41,0,0,483.23,0,0,1.06,2.12,0,3.19,67.97,2.12,1.06,2.12,2.12
 96-106,0,1.09,0,238.24,2.19,0,61.2,0,130.05,8.74,57.92,20.76,0,3.28,2.19,29.51,0,57.92,5.46,191.25,29.51,0,7.65,90.71,1.09,4.37,49.18,0,0,539.87,0,0,3.28,0,0,5.46,66.66,1.09,3.28,1.09,1.09
108-118,0,0.77,0,216,2.3,0.77,59.75,0,180.77,9.96,22.98,17.62,0,4.6,0,27.57,0,47.49,4.6,159.32,14.55,1.53,6.13,75.83,0,1.53,61.28,0,0.77,405.96,0,0,0,1.53,0,2.3,66.64,3.06,3.06,0,0.77
120,0,0,0,239.09,0,0,41.16,0,152.86,3.92,41.16,13.72,0,1.96,0,15.68,0,27.44,1.96,160.7,9.8,0,1.96,76.43,0,1.96,39.2,0,0,317.49,0,0,3.92,0,0,0,33.32,3.92,9.8,0,1.96
