stage,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,lateral.line,mesenchyme,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,1,4,0,1,0,0,0,2,2,0
 24-34,0.82,1.64,0,0,0,0,0,0,0,1.64,5.75,0.82,0,0,0,0,0,1.64,0
 36-46,0,1.61,0,0,0.81,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0
 48-58,0,4.59,0.57,0,0,0,0,0,1.15,0,6.89,0,0,0,0,0,0,2.3,0
 60-70,0,0.98,0,0,0,0,0,0,1.96,0,5.89,0,0,0,0,0.98,0,0.98,0
 72-82,0,2.94,0,0,1.96,0,0,0.98,0.98,0.98,4.91,0,0,0,0,0,0,1.96,0
 84-94,0,3.19,0,0,0,1.06,1.06,0,1.06,0,4.25,0,0,0,1.06,0,0,1.06,0
 96-106,0,2.19,1.09,1.09,1.09,0,0,0,0,0,4.37,1.09,0,0,1.09,0,0,0,0
108-118,0.77,1.53,0,0,0,0,0,0,0,0,3.06,0,0,0,0,0,0,0,0.77
120,0,3.92,0,0,0,0,0,0,0,0,5.88,0,0,1.96,0,0,0,0,0
