stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,7,2,0,0
 24-34,0,0,0,0,0,4.1,0,0,0,0,0,0.82,0,0,0,0.82,0,0.82,13.13,0.82,0.82,0,0,0,2.46,0,1.64
 36-46,0,0,0.81,0,0,5.64,0,0,0,0,1.61,0,0,0,0,0,0,0.81,22.56,1.61,0,0,0,0,2.42,0,1.61
 48-58,0,0,0,0,0,41.31,0,0,5.74,0,0.57,0,1.15,0,0,1.15,0,0,28.12,1.15,1.72,0,1.15,0,3.44,0,0.57
 60-70,0,0,0.98,0,0,58.89,0.98,0,20.61,0,0.98,0,0.98,0.98,0,0.98,0,0,51.04,0.98,1.96,0,2.94,0,6.87,0.98,0
 72-82,0,0,3.93,0,0,50.06,0,0,56.94,0.98,1.96,0,1.96,1.96,0,0,0,0,87.37,0.98,12.76,0,4.91,0,9.82,1.96,0
 84-94,0,1.06,3.19,0,0,23.36,1.06,0,31.86,1.06,2.12,0,0,4.25,0,1.06,0,1.06,36.11,0,19.12,0,4.25,0,4.25,1.06,2.12
 96-106,0,1.09,1.09,1.09,0,27.32,0,1.09,40.44,3.28,3.28,0,0,0,1.09,0,1.09,0,34.97,1.09,14.21,0,5.46,0,2.19,4.37,0
108-118,0,1.53,0.77,1.53,0.77,18.38,0,0,31.4,0.77,4.6,0.77,0.77,2.3,0,0.77,0,0,22.98,3.06,9.19,0,3.06,0,0.77,1.53,3.06
120,0,0,1.96,0,0,5.88,0,0,13.72,0,1.96,0,0,0,0,0,0,0,41.16,1.96,7.84,0,0,0,3.92,0,1.96
