stage,axial,blastomeres,endoderm,eye,fin.mesenchyme,hatching.gland,heart,immune,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,vasculature
  3-4,171.31,3347.2,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0
  5-6,67.43,1183.02,0,0,0,12.26,0,0,0,73.56,0,24.52,67.43,0,0,0,0,0
  7-9,15.77,2.63,7.89,10.51,0,10.51,0,0,0,123.55,5.26,47.32,0,2.63,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,22.03,0,6.29,0,0,3.15,0,3.15,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0.57,1.72,1.15,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,1.06,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,0,0,0,3.28,1.09,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.77,0.77,0,0,0,0,0,0,0,0
