stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.35,0,0,0,34.17,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,28.32,0,0,0,6.29,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,195.11,3.15,0,0,34.62,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,6,265,4,0,20,0,1,0,7,11,0,0,0,0,0,0,4,3,27,1,0,17,46,62,0,2,0,0,29,1,5,2,2,20,37,0,0,3,0,0
 24-34,0,0,27.09,155.14,2.46,0,83.73,0,10.67,0,17.24,5.75,0,10.67,0,0,0.82,0.82,2.46,11.49,191.26,1.64,0,63.21,132.16,28.73,0,1.64,0,0,169.1,0,0,1.64,0,10.67,66.49,0,0,28.73,0,0.82
 36-46,0,0,3.22,83.79,0,0,53.98,1.61,21.75,4.03,13.7,9.67,0,10.47,0,0.81,0,0,2.42,5.64,183.69,0,4.83,32.23,72.51,21.75,0.81,5.64,0,0.81,150.66,0,0,3.22,0,0,44.31,0,0,38.67,0,3.22
 48-58,0.57,0,0.57,39.59,0,0,28.12,1.15,18.36,8.61,43.61,1.72,0,6.31,1.15,0,0,2.87,0,5.74,214.6,0.57,6.89,18.94,61.97,21.23,0,4.02,0,0,55.66,0,0,1.15,0,0,24.1,0,1.15,39.59,0,5.16
 60-70,0,0,0.98,64.78,0,0,47.11,2.94,31.41,11.78,83.43,11.78,0,4.91,0,0,4.91,2.94,0.98,0.98,322.92,1.96,10.8,20.61,35.33,22.58,0.98,2.94,0,4.91,93.24,0,0,2.94,0.98,0,13.74,0,6.87,29.45,2.94,1.96
 72-82,0,0,0,91.29,6.87,0.98,57.92,2.94,29.45,12.76,151.18,18.65,0,3.93,6.87,2.94,3.93,9.82,2.94,0.98,507.52,0.98,28.47,35.34,66.75,14.72,1.96,16.69,0,7.85,54.97,0,0,3.93,0,0,13.74,0,18.65,57.92,15.71,3.93
 84-94,0,0,0,169.93,8.5,0,77.53,0,61.6,9.56,101.96,26.55,0,5.31,6.37,5.31,10.62,1.06,3.19,7.43,302.68,1.06,14.87,15.93,39.3,26.55,2.12,11.68,0,7.43,160.37,0,0,9.56,0,0,6.37,2.12,11.68,46.73,9.56,3.19
 96-106,0,0,0,321.3,9.84,2.19,79.78,0,104.91,10.93,132.23,34.97,0,3.28,15.3,5.46,7.65,5.46,5.46,5.46,375.94,8.74,32.79,21.86,74.31,31.69,8.74,14.21,0,13.11,286.33,0,0,3.28,0,0,14.21,1.09,25.14,66.66,17.49,4.37
108-118,0,0,0.77,234.38,1.53,1.53,69.7,1.53,121.02,9.19,98.81,34.47,0,6.89,3.06,9.19,9.19,2.3,8.43,11.49,320.17,6.89,29.87,20.68,65.11,43.66,4.6,11.49,0,12.26,177.7,0,0,12.26,0.77,0,9.96,0,14.55,43.66,8.43,13.02
120,1.96,0,0,194.02,5.88,0,48.99,0,86.23,11.76,90.15,35.28,0,5.88,7.84,0,15.68,1.96,3.92,11.76,246.93,7.84,13.72,15.68,50.95,66.63,7.84,17.64,0,13.72,131.31,0,0,15.68,0,0,13.72,0,15.68,19.6,11.76,5.88
