stage,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,olfactory,spinal.cord,taste,vasculature
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0.82,0,1.64
 36-46,0,0,0,0,0,0,0,0,2.42,0,4.83,0,0.81
 48-58,0,0,0,0,0,0,0,0,8.03,0,1.15,0,0.57
 60-70,0,0.98,0,0,0,0,0,0,18.65,0,2.94,0,0
 72-82,0,5.89,0,0,0,0.98,0,0,35.34,0,0.98,0,0
 84-94,0,4.25,1.06,0,0,2.12,0,0,32.92,0,1.06,1.06,1.06
 96-106,2.19,13.11,0,1.09,1.09,0,0,0,37.16,1.09,2.19,0,0
108-118,0,10.72,0,2.3,0,2.3,0.77,0.77,51.32,0,1.53,0,0
120,0,13.72,0,3.92,0,0,0,0,60.75,0,0,0,1.96
