stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,386.17,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,10.51,0,10.51,0,0,13.14,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,149.84,7.89,0,0,57.83,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,22.03,0,6.29,15.73,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,166.79,6.29,0,0,53.5,0,3.15,0,3.15,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,4,25,3,5,0,0,0,1,3,2,0,0,4,0,0,0,3,8,0,0,8,91,9,1,2,7,0,6,1,12,2,8,24,0,0,3,0,0
 24-34,0.82,0,0,0,12.31,3.28,21.34,0,0.82,0.82,6.57,1.64,0,0,5.75,7.39,0,0.82,0,4.93,22.98,1.64,0,9.03,126.41,4.1,1.64,0.82,0,0,12.31,0,0,5.75,2.46,36.94,0,0,26.27,0,8.21
 36-46,0,0,0,0,6.45,1.61,21.75,0,0,1.61,6.45,0,0,1.61,2.42,1.61,2.42,1.61,0,6.45,20.14,0,1.61,6.45,112.79,1.61,2.42,0,0,0,7.25,0.81,0,0,0,24.98,0,0,17.72,0,6.45
 48-58,0,0,0,0,4.02,2.87,21.23,0,1.72,1.72,10.33,0,0,1.72,4.59,1.15,0.57,0.57,0.57,9.75,18.94,0,0.57,6.31,52.22,1.15,1.15,0.57,0,0.57,4.59,0,0,0.57,0,16.64,0,0,10.9,0,0.57
 60-70,0,0,0,0,5.89,1.96,28.46,0.98,2.94,0,3.93,0,0,0.98,8.83,0.98,3.93,0,0.98,2.94,27.48,0,0,2.94,44.17,0,0.98,0,0,0.98,4.91,0,0,0.98,0,10.8,0,0,7.85,0,5.89
 72-82,0,0,2.94,0,7.85,2.94,28.47,0,7.85,0.98,14.72,4.91,0,0,10.8,0.98,0.98,0,0,1.96,36.32,0.98,0.98,4.91,53.99,0,0.98,1.96,0,0,6.87,0,0,1.96,0,3.93,0,2.94,14.72,1.96,5.89
 84-94,0,0,0,0,15.93,5.31,18.05,0,3.19,1.06,14.87,5.31,0,2.12,13.81,2.12,4.25,1.06,0,7.43,31.86,2.12,2.12,1.06,36.11,0,1.06,1.06,0,0,23.36,0,0,0,0,6.37,0,0,18.05,0,3.19
 96-106,0,0,1.09,0,13.11,4.37,17.49,0,3.28,1.09,8.74,6.56,0,1.09,19.67,7.65,3.28,5.46,0,4.37,33.88,0,1.09,2.19,22.95,1.09,0,2.19,0,0,34.97,0,0,3.28,0,2.19,1.09,2.19,22.95,3.28,3.28
108-118,0,0,0,0,19.92,3.06,10.72,0,0,1.53,6.89,2.3,0,0.77,10.72,4.6,5.36,0.77,0.77,1.53,22.21,0,1.53,0,30.64,2.3,0.77,1.53,0,0,17.62,0,0,2.3,0,2.3,0.77,0,10.72,0,6.13
120,0,0,0,0,25.48,0,13.72,0,3.92,0,3.92,5.88,0,0,11.76,1.96,7.84,0,1.96,0,25.48,0,0,0,25.48,1.96,0,0,0,0,19.6,0,0,1.96,0,0,0,0,11.76,0,3.92
