stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,68.35,0,0,0,18.4,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,20,1,0,0,0,0,1,0,0,0,5,0,1,0,0,1,0,0,0,0,10,0,1,1,0,0,0
 24-34,0,0,56.64,0.82,1.64,0,7.39,0,0,1.64,5.75,0.82,65.67,4.1,1.64,20.52,0,26.27,0.82,8.21,1.64,0,117.38,0,1.64,6.57,0,0,0
 36-46,0,0,19.34,0,0,0,3.22,0,0.81,0,2.42,0,24.17,4.03,0.81,10.47,0,16.11,0,4.83,0.81,0,124.07,1.61,0,4.83,0,1.61,0
 48-58,0,0,20.66,0,4.59,0,1.72,0,1.72,0.57,2.87,0,8.03,5.74,1.15,10.9,0,14.35,0,2.87,1.15,0,92.38,0,0,2.87,0,0.57,0
 60-70,0,0,25.52,0,9.82,0,2.94,0,0,1.96,0.98,0,5.89,9.82,0,9.82,0,2.94,0,1.96,0.98,0,85.39,0,0,0,2.94,0,0
 72-82,0,0,29.45,0,12.76,0,3.93,0.98,0,5.89,3.93,0.98,30.43,16.69,3.93,19.63,0,13.74,0.98,3.93,0,0,82.46,0,0,0.98,8.83,0,1.96
 84-94,0,0,62.66,0,1.06,0,11.68,0,0,6.37,3.19,0,25.49,8.5,0,14.87,0,8.5,0,6.37,1.06,0,132.75,0,0,0,14.87,0,0
 96-106,0,0,128.96,0,13.11,0,8.74,0,1.09,33.88,0,0,61.2,52.46,4.37,32.79,2.19,9.84,0,38.25,0,1.09,230.59,0,0,1.09,80.87,0,0
108-118,0,0,67.4,1.53,4.6,0.77,12.26,0,0,17.62,0,2.3,32.17,13.79,3.06,8.43,0.77,8.43,0,10.72,0.77,0,114.89,0.77,0,0.77,32.17,0,0
120,0,0,105.83,0,0,0,15.68,0,0,21.56,0,1.96,25.48,11.76,0,9.8,0,5.88,0,7.84,0,0,188.14,0,0,0,19.6,0,0
