stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,1,0,3,313,539,2,0,0,0,0
 24-34,0,0,0,0.82,2.46,101.79,0,0,0,0.82,0,0.82,0,0,0.82,0,4.93,0,1.64,29.55,55,0,0,0.82,0,3.28,0,161.71,384.16,9.03,0,0.82,0,0.82
 36-46,0,0,0.81,0,4.03,134.55,0,0.81,0.81,0,0,0,0,0,0,0,2.42,0,0,14.5,20.14,0,0.81,0,0,2.42,0,80.57,24.98,2.42,0,0,0,0.81
 48-58,0,0,0,0,7.46,99.27,0,0.57,0.57,0,0,0.57,0,0,0,0.57,7.46,0,0,25.25,26.97,0,0,0,0,2.3,0,44.76,0,9.18,0,0,0,0
 60-70,0,0,0,0,9.82,87.36,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0.98,21.59,9.82,0,0,0,0.98,0,0,32.39,0,0.98,0,0.98,0,0
 72-82,0,0.98,0,0.98,9.82,75.59,0,0,3.93,0,0,0,0,0,0,0,7.85,0,0,23.56,10.8,0,0,0,0,0.98,0,26.5,0,1.96,0.98,0,0.98,0
 84-94,0,1.06,2.12,3.19,11.68,106.2,0,1.06,3.19,0,0,0,1.06,0,0,0,3.19,0,0,27.61,11.68,0,0,0,0,4.25,0,29.74,0,2.12,0,0,0,0
 96-106,0,0,1.09,6.56,9.84,139.88,2.19,0,3.28,0,1.09,1.09,0,1.09,0,0,18.58,1.09,2.19,32.79,16.39,1.09,1.09,1.09,1.09,5.46,0,30.6,0,1.09,0,1.09,0,0
108-118,0,0,0,1.53,10.72,114.13,0,0,1.53,0,0,0,0,0,1.53,0,8.43,0.77,0.77,36,10.72,0,0,0.77,0,4.6,0,31.4,0,0.77,0.77,0.77,0,0
120,0,0,0,0,7.84,86.23,0,0,0,1.96,0,0,0,0,0,0,7.84,0,0,41.16,9.8,0,0,0,0,0,0,9.8,0,0,0,0,0,0
