stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,204,0,0,0,1,0,0,0,0,1,1,108,0,0,0,0,0
 24-34,0,0,0,9.03,0.82,0,21.34,0,0,0,4.93,0,0,0.82,0.82,0,0,0,0,13.13,0,0,8.21,1750.07,0.82,1.64,1.64,0,0,1.64,0,0,0,4.93,300.43,0,0,0.82,0,0
 36-46,0,0,0,7.25,2.42,0,186.92,1.61,0.81,0,12.89,0.81,1.61,0.81,0,0.81,0,0,0.81,24.98,0.81,0,11.28,4014.65,1.61,3.22,1.61,0,0,11.28,0.81,1.61,0,0,626.81,0,0,1.61,0,0.81
 48-58,0,0,0,28.69,1.72,0,624.87,0.57,8.61,4.02,72.87,0.57,2.87,1.72,1.15,4.02,2.3,1.15,3.44,76.89,0,2.87,11.48,4210.58,2.87,2.87,1.15,0.57,0,10.33,0.57,1.15,1.15,0,768.32,0,0,8.03,0,5.16
 60-70,0,0,0,7.85,0,0,638.97,1.96,2.94,0.98,36.32,0.98,0,0.98,0,0,0.98,0,0,35.33,1.96,1.96,4.91,3085.9,1.96,0.98,1.96,0,0.98,5.89,0,0.98,0,0,483.89,0,0,1.96,0,0.98
 72-82,0,0,0,19.63,12.76,0,714.65,0.98,2.94,4.91,53.99,4.91,0.98,1.96,2.94,0,0.98,1.96,0,71.66,0.98,3.93,7.85,2322.61,0.98,3.93,3.93,0,0,7.85,0,1.96,0,0,233.64,1.96,4.91,4.91,2.94,3.93
 84-94,0,0,0,32.92,3.19,0,550.14,2.12,4.25,2.12,62.66,3.19,3.19,5.31,1.06,4.25,1.06,1.06,0,56.29,0,6.37,7.43,1265.95,3.19,0,5.31,0,0,7.43,0,2.12,0,0,161.43,0,3.19,2.12,2.12,2.12
 96-106,0,0,1.09,43.71,4.37,1.09,393.42,2.19,6.56,0,55.74,2.19,0,2.19,2.19,3.28,0,0,0,44.81,1.09,4.37,6.56,912.53,1.09,2.19,3.28,0,1.09,7.65,0,1.09,0,0,57.92,2.19,1.09,4.37,3.28,1.09
108-118,0,0,0,9.19,1.53,0,311.75,0,0,1.53,28.34,0.77,0,6.13,0,0,0,1.53,0,26.04,0,1.53,1.53,1093.03,0.77,1.53,1.53,0,0,6.89,0,0,0,0,34.47,0,0.77,0.77,0,0.77
120,0,0,0,29.4,5.88,0,382.16,1.96,0,0,68.59,3.92,0,3.92,0,0,1.96,1.96,0,35.28,1.96,0,11.76,1346.37,0,0,3.92,0,1.96,9.8,0,1.96,0,0,35.28,0,1.96,7.84,0,1.96
