stage,epidermis,erythrocytes,eye,fast.muscle,glial,gut,mesenchyme,muscle,neural,olfactory,periderm,slow.muscle,somites,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,1.64,0.82,0,0
 36-46,0,0,0,0,0,0,0,0.81,0.81,1.61,0,0,0,0,0.81
 48-58,0,0,0.57,1.15,0.57,0,0,0,1.15,0.57,0,0.57,0,0.57,0
 60-70,0,0,0,0,2.94,0,0,0,2.94,0,0,1.96,0,0,0
 72-82,0,0.98,0.98,0,3.93,0,1.96,0,2.94,2.94,0.98,0,0,1.96,0
 84-94,1.06,0,5.31,1.06,4.25,0,2.12,1.06,2.12,0,1.06,1.06,0,0,0
 96-106,0,0,5.46,1.09,9.84,0,1.09,0,3.28,5.46,0,0,0,0,0
108-118,1.53,0,3.83,0.77,6.89,1.53,2.3,0.77,5.36,2.3,0,2.3,0,0.77,0.77
120,1.96,0,3.92,1.96,1.96,0,3.92,1.96,3.92,0,0,1.96,0,0,0
