stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,7.89,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,68.35,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,25.18,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,2,26,9,23,0,0,0,23,0,0,0,0,2,0,0,1,19,0,0,14,311,4,1,3,14,0,1,46,2,0,23,123,0,0,0,0
 24-34,0,0,1.64,0,1.64,0.82,23.8,0,1.64,3.28,5.75,0,0,0,0,0,0,0,0.82,23.8,0,0.82,13.95,257.75,2.46,1.64,1.64,0,0,1.64,1.64,0.82,0,6.57,67.31,0,0.82,0,0
 36-46,0,0,0,0,0.81,0.81,58.81,0,0.81,1.61,10.47,0,0,0,0,0,0,0,0,13.7,0.81,0.81,4.83,135.35,1.61,0.81,0,0,0,0,0,0,0.81,0,49.95,0,2.42,0,0.81
 48-58,0,0,0,0,1.72,0,47.63,0,0,1.15,6.31,0,0.57,0,0.57,0.57,0.57,0.57,0,13.77,0,0,4.59,70.58,0,1.72,0.57,0,0,0.57,0,0,0,0,20.08,0,0,0,0
 60-70,0,0,0.98,0,1.96,0.98,81.47,0,0,0.98,10.8,1.96,0,0,0,0,0,0,0,15.7,0,0,1.96,80.48,0,1.96,3.93,0,0,0,0,1.96,0.98,0,19.63,0.98,0,0,0
 72-82,0,0,0.98,0,0.98,0,50.06,0,0.98,4.91,19.63,0.98,0.98,1.96,0.98,0,0,0,0.98,33.38,0,0,3.93,76.57,0,5.89,2.94,0,0.98,0,0,0,0,0,11.78,0,1.96,0.98,0.98
 84-94,0,0,1.06,0,4.25,0,22.3,0,0,0,9.56,1.06,0,0,0,0,0,0,0,14.87,0,3.19,10.62,29.74,0,2.12,0,0,0,0,0,0,0,0,4.25,0,2.12,0,0
 96-106,0,0,0,0,2.19,3.28,22.95,0,0,0,16.39,5.46,0,2.19,3.28,1.09,0,1.09,0,20.76,1.09,0,5.46,26.23,0,4.37,2.19,0,1.09,1.09,0,0,0,0,6.56,0,1.09,1.09,0
108-118,0,0,0,0,0.77,2.3,24.51,0.77,0,2.3,16.85,2.3,0,0,0,0,1.53,0,0,17.62,0,1.53,6.13,50.55,0.77,3.06,2.3,0,0,1.53,0,0,0,0,3.06,0.77,2.3,2.3,0.77
120,0,0,1.96,0,1.96,1.96,23.52,0,1.96,1.96,19.6,0,0,5.88,0,1.96,0,0,0,35.28,0,3.92,7.84,25.48,0,1.96,1.96,0,0,0,0,0,0,0,1.96,0,1.96,0,1.96
