stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature
 14-21,1,5,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,1,2,2,0,0
 24-34,0,1.64,0,0,2.46,0.82,0,4.1,0,0,0,0,1.64,0.82,38.58,0.82,0,0.82,0.82,0,1.64,12.31,0,0
 36-46,0,0.81,0,0,4.03,0,0.81,2.42,0,0,0,0,2.42,0,40.28,0.81,0,0.81,2.42,0,0,7.25,0,0
 48-58,0,0,0,0,6.89,0,0,1.72,0,0,0,0,2.3,0,29.84,0,0,0.57,0.57,0,0,2.3,0,0
 60-70,0,1.96,0,0,14.72,0,0.98,2.94,0,0,0,0,6.87,0,41.22,0,0.98,0,0.98,0,0,5.89,0,0.98
 72-82,0,0.98,0,0,6.87,0,0,4.91,0.98,0,0.98,0,0.98,0,16.69,0,0,0,0,0,0,0,0,0
 84-94,0,1.06,1.06,0,8.5,0,0,4.25,1.06,1.06,1.06,1.06,3.19,0,4.25,0,0,1.06,2.12,0,0,0,0,0
 96-106,0,1.09,0,0,4.37,1.09,0,2.19,0,0,0,0,2.19,0,9.84,0,1.09,0,4.37,0,0,2.19,0,0
108-118,0,5.36,0.77,0,3.06,0,0,3.06,0.77,0,1.53,0,0.77,0,12.26,0,0,0,1.53,0,0,0.77,0.77,0
120,0,3.92,0,1.96,3.92,0,0,3.92,1.96,0,0,1.96,1.96,0,15.68,0,1.96,0,3.92,0,0,0,0,0
