stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,65.89,1950.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0
  5-6,85.81,686.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,0,5.26,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,6.29,0,3.15,0,0,0
 14-21,0,0,0,2,5,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,23,0,1,1,0,0
 24-34,0,0,0,1.64,5.75,0,0.82,0.82,0.82,0.82,0,0,15.6,0,0,1.64,0,0,0.82,0,0,5.75,0,0,1.64,0,27.09,0,20.52,0,0,0,0,0.82
 36-46,0,0,0,0,3.22,0,0,1.61,0,1.61,0,0,12.09,0,2.42,1.61,0,0.81,0.81,0,0,1.61,0,0,1.61,0,12.89,0,7.25,0,0,0.81,0,0
 48-58,0,0,0,0,9.18,0,0.57,0.57,0,1.15,0,1.72,4.02,0,0,0,1.72,1.15,1.15,0,0,2.87,0,0.57,0,0,18.36,0,3.44,0,0,0,0,0
 60-70,0,0,0,0,6.87,0,0.98,4.91,0,0.98,0.98,2.94,6.87,0,1.96,0,0,1.96,0,0.98,0.98,4.91,0,0,2.94,0,14.72,0,4.91,0,0,0,0,0
 72-82,0,0,0,0,11.78,0,2.94,0.98,0,2.94,0.98,1.96,16.69,0,0,1.96,0.98,4.91,0.98,0,0,4.91,0,1.96,2.94,0,13.74,0,4.91,0,0,0,2.94,0
 84-94,0,0,1.06,0,28.68,0,2.12,1.06,1.06,2.12,0,4.25,24.43,0,0,1.06,0,3.19,0,0,1.06,2.12,0,2.12,3.19,0,38.23,0,7.43,1.06,0,0,0,0
 96-106,0,0,0,0,18.58,1.09,1.09,3.28,0,6.56,0,6.56,21.86,1.09,2.19,4.37,1.09,3.28,4.37,0,0,2.19,0,4.37,5.46,0,32.79,0,1.09,0,0,0,1.09,0
108-118,0,0,0,0,16.09,0,0.77,4.6,0,10.72,0,5.36,29.87,0,1.53,2.3,0,3.06,0,0,0,4.6,0,0,3.06,0,24.51,0,3.83,0,0,0,1.53,0
120,0,0,0,0,33.32,0,0,3.92,0,9.8,0,9.8,17.64,0,0,5.88,0,0,5.88,0,0,0,0,3.92,1.96,0,21.56,0,5.88,0,0,0,1.96,0
