stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,619.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,18.39,422.94,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,23.66,7.89,0,21.03,0,0,26.29,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,152.47,5.26,0,0,76.23,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,0,0,0,37.76,0,3.15,0,12.59,0,0,0,0,0
 14-21,0,0,0,0,7,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,2,53,0,0,0,1,1,0,5,2,2,17,0,0,0
 24-34,0,0,0,0,4.1,1.64,8.21,0,0,0,1.64,0,0,0.82,0.82,0.82,0,0,8.21,0,0,0.82,91.12,0,0.82,1.64,0,3.28,0,0,0,4.1,19.7,1.64,0,1.64
 36-46,0,0,0,0,0,0,20.95,0,0,0.81,2.42,0,0,0.81,0,0,0,0,7.25,0,0,0,104.74,0,1.61,0,0,0.81,0,0,0,0,26.59,1.61,0,0
 48-58,0,0,0,0,1.15,0.57,33.85,0,0,0,6.31,0,0,0,0,0,0,0,11.48,0,0.57,1.72,94.68,0,0,0.57,0,1.15,0,0,0,0,17.21,0,0,0
 60-70,0,0,0,0,0,0,32.39,0,0,0.98,1.96,0,0,0.98,0,0,0,0,12.76,0,0,1.96,67.73,0,0,0,0,0,0,0,0,0,5.89,0.98,0,0
 72-82,0,0,0,0,5.89,2.94,29.45,0,0,0.98,9.82,0.98,0,0,0,0,0.98,0,15.71,0,0.98,0,50.06,0,0,0,0,0.98,0,0,0.98,0,4.91,2.94,0.98,0
 84-94,0,0,1.06,0,2.12,1.06,19.12,1.06,1.06,1.06,1.06,1.06,0,1.06,0,0,0,0,10.62,0,0,0,26.55,0,0,0,0,4.25,0,0,0,0,5.31,0,0,0
 96-106,0,0,0,0,0,1.09,3.28,1.09,0,1.09,3.28,0,0,0,0,1.09,1.09,1.09,5.46,0,1.09,0,17.49,0,0,1.09,0,4.37,0,0,0,0,1.09,1.09,0,0
108-118,0,0,0,0,2.3,0.77,9.96,0,0,1.53,2.3,0.77,0,0,1.53,0.77,0,0.77,6.13,0.77,0,0.77,39.83,0,0.77,0,0,6.13,0,0,0.77,0,0.77,0,0.77,0.77
120,0,0,0,0,5.88,0,5.88,0,0,0,5.88,1.96,0,0,0,0,0,0,3.92,0,0,0,19.6,0,0,1.96,0,7.84,0,0,0,0,0,0,0,0
