stage,blastomeres,epidermis,eye,fin.epithelia,glial,hatching.gland,heart,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,56.65,0,0,0,0,0,0,0,0
 14-21,0,1,4,0,4,0,0,0,0,1,0,0,586,0,0,1,0,0,120,0,0
 24-34,0.82,1.64,70.59,0.82,6.57,0.82,0,0,0,4.1,0,2.46,1390.53,0,0.82,0,1.64,0.82,260.21,0,0
 36-46,0,0,165.16,0,20.95,0,0.81,0,0,0.81,0,0.81,1324.52,1.61,0,0,0.81,0,265.07,0.81,0
 48-58,0,0,245.01,0,13.77,0,0,0.57,0,4.02,0,0,269.69,0.57,0,0,0.57,0,86.64,0,0.57
 60-70,0,0,267.96,0,3.93,0,0,0,0,0.98,0,0,81.47,0,0,0,0.98,0,10.8,0,0
 72-82,0,0,96.2,0,3.93,0,0,0,0,1.96,0,0,45.16,0.98,0,0,0,0,1.96,0,0
 84-94,0,0,63.72,0,4.25,0,0,0,0,1.06,1.06,0,16.99,0,0,0,0,0,0,0,0
 96-106,0,0,54.64,0,1.09,0,0,0,0,1.09,0,0,16.39,0,0,0,0,0,0,0,0
108-118,0,0,40.6,0,2.3,0,0,0,0.77,0,0,0,18.38,0,0,0,0,0,0,0,0
120,0,0,17.64,0,1.96,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0
