stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,xanthophores
  3-4,0,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.07,0,0,0,0,0,0,0
  7-9,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.86,2.63,0,0,5.26,7.89,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,1243.05,3.15,0,0,15.73,0,0,3.15,0,0,0,0,0
 14-21,1,0,2,675,3,0,1,0,3,0,1,0,0,0,0,25,0,0,1,0,1,1,0,4,45,0,0,270,0,8,5,2,7,5,0,0,0
 24-34,0,0,0,70.59,0,0,1.64,0,3.28,0,0,0,0,0,0.82,19.7,0,4.1,0,0,2.46,9.03,0,0.82,32.83,0.82,0.82,189.62,0,0.82,0,0.82,0,7.39,0,0,0
 36-46,0,0,0,12.09,0,0,1.61,0,0.81,0,1.61,0,0,0,0,4.83,0,0,0,0,1.61,0.81,0,1.61,42.7,0,0,120.85,0,1.61,0,0,0,4.03,0,0,0.81
 48-58,0,0,0,8.61,0,0,10.9,0,1.72,0,1.72,0.57,0,0,0,6.31,0,1.15,0,0.57,12.05,2.87,0,0.57,74.02,0,0,115.91,0,0.57,0,0,0,4.02,0,0,0
 60-70,0,0,0,13.74,0,0,11.78,0.98,0,0,2.94,0.98,0,0,0,1.96,0,0.98,0,0,11.78,2.94,0,0,187.47,0,0,65.76,0,4.91,0,0,0,17.67,0,0,0
 72-82,0,0,0,24.54,0,0,19.63,0,0.98,0,2.94,0,0,0.98,2.94,10.8,0,0,0.98,0,24.54,4.91,0.98,0,224.8,0,0,110.93,0,3.93,0,0,0,11.78,2.94,1.96,0
 84-94,0,0,0,59.47,0,0,19.12,0,2.12,0,4.25,0,0,0,1.06,13.81,3.19,2.12,0,0,8.5,7.43,0,0,88.15,0,0,127.44,0,12.74,0,0,0,8.5,5.31,0,0
 96-106,0,0,0,118.03,1.09,0,16.39,0,7.65,0,7.65,5.46,0,0,1.09,7.65,0,0,0,0,19.67,15.3,1.09,0,92.89,1.09,2.19,189.06,0,13.11,0,0,0,3.28,6.56,0,0
108-118,0,0,0,118.72,0.77,0.77,13.02,0,6.89,0.77,3.83,8.43,0,0,1.53,6.89,0,3.06,0,0,9.96,13.79,0.77,0.77,110.3,0,2.3,157.02,0,6.89,0,0,0,5.36,7.66,0,0
120,0,0,0,99.95,0,0,7.84,0,0,0,1.96,1.96,0,0,0,1.96,0,1.96,1.96,0,7.84,7.84,0,1.96,84.27,0,0,105.83,0,11.76,0,0,0,1.96,5.88,0,0
