stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,muscle,neural,olfactory,periderm,somites,spinal_cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,0,1,0,11,0,2,1,3
 24-34,0,0,0,0,0,0.82,0.82,13.95,0,2.46,0,4.93
 36-46,0,0,0,0,0,0,0,3.22,0.81,0.81,0,4.83
 48-58,0,0,0,0,0.57,0,0.57,0.57,1.72,0.57,0,1.15
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,0,0,0.98,2.94,0.98,0,0
 84-94,0,0,0,0,0,0,0,0,2.12,1.06,0,0
 96-106,0,0,0,0,0,0,0,0,4.37,1.09,0,0
108-118,0,0.77,0,0,0,0,0,0.77,3.06,0.77,0,0
120,0,0,0,0,0,0,0,0,3.92,0,0,0
