stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0
 24-34,0,4.1,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0.82,0,0,0.82,4.1,0,0,0,0,81.26,0,0,0,0,0,0
 36-46,0,1.61,0,0,0,0.81,0,0,0,0,2.42,0,0,0,0.81,0,1.61,0,0,0,2.42,0.81,0,0,0,95.07,0,0,0,0,0,0
 48-58,0,8.03,0,0,1.15,0,1.72,0,2.3,0,2.3,0,0,0,1.72,0,2.3,1.15,0.57,0,5.16,0.57,0.57,0,0,153.21,0,2.3,0,0,0,0.57
 60-70,0,16.69,0,0,0.98,0,1.96,0,0.98,0,0.98,0,1.96,0,0.98,0,2.94,1.96,0,0,1.96,0,0,0,0,166.86,0.98,1.96,0,0,0,0
 72-82,0,26.5,0.98,0,3.93,0,10.8,0,12.76,1.96,0,0,2.94,0,7.85,0,2.94,5.89,0,0.98,6.87,1.96,0,0,0,321.99,0,0,0.98,0.98,0,0
 84-94,0,99.83,1.06,0,6.37,0,31.86,0,2.12,4.25,0,0,7.43,0,7.43,0,6.37,8.5,1.06,0,7.43,5.31,0,0,0,919.72,0,0,2.12,0,0,0
 96-106,0,111.47,0,0,7.65,1.09,28.41,0,10.93,12.02,0,0,6.56,0,15.3,2.19,8.74,16.39,0,2.19,7.65,24.04,2.19,0,0,571.56,0,1.09,13.11,0,1.09,0
108-118,0,140.94,0.77,0.77,3.06,0,35.23,0,9.19,7.66,0,0.77,11.49,0.77,10.72,0,6.13,16.09,0,0.77,8.43,11.49,0.77,0,0.77,449.62,0,0,10.72,0.77,0,0
120,0,174.42,0,0,0,0,45.08,1.96,13.72,9.8,0,1.96,1.96,1.96,19.6,0,3.92,11.76,0,0,11.76,19.6,1.96,0,0,550.7,1.96,1.96,7.84,0,0,0
