stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,1304.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,931.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,12.26,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,26.29,0,39.43,0,0,0,97.26,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,741.3,28.92,0,0,252.36,0,2.63,5.26,0,2.63,0,0,0,0,0,0,0
 10-12,0,25.18,0,44.06,0,3.15,0,91.26,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,896.89,37.76,0,0,251.76,0,0,0,0,31.47,0,6.29,0,0,0,0,0
 14-21,0,0,1,1,16,4,0,9,0,0,0,3,3,0,0,0,0,0,0,0,1,13,0,0,13,159,2,0,1,5,0,2,0,13,3,0,13,51,0,1,0,0
 24-34,0,0,0.82,0,4.1,0,0,25.45,0,0,0,8.21,0.82,0,0.82,0,0.82,0,0,0,1.64,17.24,0,0,7.39,286.48,0.82,0.82,1.64,0,0,8.21,0,0,0,0.82,0.82,74.7,0,5.75,0,2.46
 36-46,0,0,0,0,0.81,0.81,0,46.73,0,0,0,20.14,0,0,0.81,0,0,0,0.81,0,0.81,16.11,0,0,6.45,312.6,0,0.81,0,0,0,3.22,0,0,0.81,0,0.81,66.87,0,2.42,0,0.81
 48-58,0,0,0,0,0,0,0,77.46,0,0,1.15,28.69,0,0,0.57,0,0,1.15,0,0,0.57,25.25,0,0,2.87,239.28,0.57,0.57,1.15,0,0,0.57,0,0,0,0,0,48.2,0,0.57,0,2.3
 60-70,0,0,0,0,1.96,0,0,101.1,0,0,0.98,29.45,0,0,0,0,0,0.98,0.98,0,0,43.19,0,3.93,3.93,282.68,0,0,0,0,0.98,3.93,0,0,0,0,0,46.13,0.98,3.93,0.98,3.93
 72-82,0,0,0,0,0.98,0,0,74.61,0,0,0,27.49,0,0,0,0.98,3.93,0,0,0.98,0.98,35.34,0,0.98,0.98,182.59,0.98,0.98,0,0,0,1.96,0,0,0,0,0,13.74,0.98,3.93,0.98,0
 84-94,0,0,0,0,1.06,4.25,0,64.78,0,1.06,0,19.12,1.06,0,1.06,2.12,1.06,0,1.06,2.12,0,32.92,0,1.06,3.19,112.58,1.06,0,1.06,0,0,5.31,0,0,0,0,0,6.37,4.25,3.19,3.19,1.06
 96-106,0,0,0,0,4.37,0,1.09,34.97,0,0,0,14.21,0,0,1.09,0,3.28,0,2.19,1.09,1.09,29.51,1.09,1.09,2.19,89.61,0,0,0,0,1.09,3.28,0,0,0,0,0,5.46,0,5.46,0,0
108-118,0,0,0,0,6.13,0,2.3,29.87,0.77,1.53,1.53,15.32,0,0,0,3.06,2.3,0.77,0,2.3,0,22.21,0,2.3,3.83,114.13,0,0.77,0.77,0,0.77,3.06,0,0,0,0,0,4.6,0,3.83,0.77,0
120,0,0,0,0,1.96,1.96,0,29.4,0,3.92,0,11.76,0,0,0,1.96,0,1.96,0,1.96,0,19.6,0,0,1.96,94.07,1.96,0,0,0,0,5.88,0,0,0,0,0,3.92,1.96,3.92,0,0
