stage,axial,blastomeres,endoderm,epidermis,eye,glial,heart,mesenchyme,neural,notochord,otic,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,2.63,0,2.63,0,0,0,13.14,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,3.15,0,6.29,0,0,0,18.88,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,7,0,1,0,1,1,2,0,0,0
 24-34,0,0,0,0,0,0.82,0.82,0,10.67,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,1.61,0,0,0.81,1.61,0,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,0,1.15,0,0,1.15,2.87,0,0,0,0,0,0.57,0,0.57,0
 60-70,0,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0.98,0.98,0,0.98,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,0,0,2.12,2.12,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,2.19,0,0,0,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,1.53,0,0,0,0,0,0,0.77,0.77,0
120,0,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0
