stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,31.54,0,0,0,5.26,0,13.14,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,9.44,0,15.73,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,4,2,2,0,0,0,0,0,0,0,0,3,0,0,0,3,0,1,17,0,0,0,0,0,107,0,1,0,1,7,0,0,0
 24-34,0,0,0.82,9.03,0,4.1,0,0,0,0,0.82,0.82,0,0,18.06,0,2.46,0.82,6.57,2.46,0,41.86,0.82,11.49,1.64,0,0,434.23,0,0,1.64,0.82,8.21,0,4.1,0
 36-46,0,0,0,2.42,0.81,5.64,0,1.61,0,1.61,1.61,0,0,0,16.92,0,4.03,0,7.25,4.03,1.61,53.98,0,12.89,0,0,0,390.75,0,0,0,0.81,12.89,0,0,0.81
 48-58,0,0,0,4.02,1.15,7.46,0.57,0,0,2.87,1.72,0,0,0.57,8.03,0,2.3,0,2.87,2.3,4.02,54.51,0,3.44,0.57,0,0,189.93,0,0,0.57,0,9.75,0,0,0.57
 60-70,0,0,0,14.72,1.96,16.69,0,2.94,0,4.91,0,0,0,0,13.74,0,0.98,0,2.94,0.98,0,105.02,0,7.85,0.98,0,0,168.82,0,0,0.98,0,20.61,0,0,0
 72-82,0,0,0,23.56,1.96,9.82,0,0.98,0,2.94,2.94,0,0,0.98,26.5,0,1.96,0,7.85,0.98,0,112.89,0,4.91,0.98,0,0,147.25,0,0,0,0,16.69,0.98,0,0.98
 84-94,0,0,0,32.92,2.12,8.5,0,4.25,0,5.31,3.19,0,0,2.12,29.74,0,1.06,1.06,5.31,4.25,1.06,67.97,0,11.68,1.06,0,0,338.79,0,0,1.06,0,11.68,1.06,2.12,0
 96-106,0,0,0,72.13,2.19,8.74,0,2.19,0,7.65,9.84,0,0,1.09,52.46,2.19,3.28,0,5.46,4.37,1.09,59.01,0,19.67,1.09,0,1.09,254.63,0,0,0,0,7.65,5.46,2.19,0
108-118,0,0,0,51.32,5.36,5.36,0,5.36,0,3.83,9.19,0,0.77,6.13,40.6,0,2.3,0,1.53,4.6,2.3,57.45,0,16.09,1.53,0,0,220.6,0,0,0,0,2.3,6.89,1.53,0.77
120,0,0,0,62.71,11.76,5.88,1.96,1.96,1.96,5.88,1.96,0,0,7.84,31.36,0,1.96,0,1.96,5.88,1.96,90.15,0,13.72,0,0,0,178.34,0,0,0,0,3.92,1.96,0,0
