stage,axial,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,23.66,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,21,0,0,0,0,0,0,3,1,3,3,0,0,0,0,0
 24-34,0,0.82,0.82,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0.82,1.64,26.27,0,0,0,0,0,0,0,0,1.64,4.1,0,0,4.1,0,0
 36-46,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,1.61,11.28,0.81,0,0,0,0,0,0,0,0,1.61,0,0,2.42,0,0.81
 48-58,0,0,0,0,0.57,0.57,0,0,1.15,0,0,0,0,0,0,0,0,0,4.59,0,0,2.3,0,0,0,0,0,0,0,0,0,1.15,0,0,1.72,0,0.57
 60-70,0,0,0,0.98,6.87,0,0,0.98,1.96,0,0,0.98,0,0,0,0,0,0,5.89,0,0,9.82,0,1.96,0,0,0,0,0,0,0,2.94,0,0,0.98,0,0
 72-82,0,0,5.89,3.93,1.96,0,0.98,2.94,6.87,0,0,0,0,0,0.98,0.98,0,0,19.63,2.94,0.98,5.89,0,0,0,0,0.98,0,0,0,0,0,0,0,8.83,0,0
 84-94,0,0,4.25,5.31,1.06,0,0,1.06,2.12,0,0,0,0,0,0,0,0,0,16.99,1.06,1.06,4.25,0,0,0,0,0,0,0,0,0,1.06,0,1.06,3.19,1.06,2.12
 96-106,0,0,2.19,4.37,3.28,0,3.28,0,1.09,0,0,0,1.09,0,0,0,0,1.09,12.02,0,1.09,10.93,1.09,2.19,0,0,0,0,0,0,0,1.09,0,0,3.28,2.19,1.09
108-118,0,0,0,1.53,0.77,0.77,0.77,0,6.13,1.53,0,0,0.77,0.77,3.06,0,0,0,15.32,0.77,3.06,7.66,0,0,0,0.77,0.77,0,0,0.77,0,0,0.77,1.53,4.6,0.77,1.53
120,0,0,1.96,1.96,5.88,0,0,0,0,1.96,0,0,1.96,1.96,0,0,1.96,0,17.64,0,0,7.84,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,1.96,0
