stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,237,0,0,0,0,0,0,2,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,1.64,395.65,0,2.46,0,0,0,0,0,50.89,0,0,0,3.28,0,1.64,18.06,0,0,2.46,0.82,4.93,0,0.82,0
 36-46,0,0,91.04,0,0,0,0,0,0,0,68.48,0,0,0.81,1.61,0,0,9.67,0,0,0.81,0,0.81,0,1.61,0.81
 48-58,0,0,63.69,0,1.72,0,0,0,0,0,78.61,0,0,0,0.57,0,0,4.59,0,0,0.57,0,2.3,0,5.16,0
 60-70,0,0.98,23.56,0,0.98,0,0,0,0,0,73.61,0,0,0,0,0,0.98,3.93,0,0,0,0,0.98,0,7.85,0
 72-82,0,1.96,67.73,0,0,0,0,0,0,0,139.4,0,0,0,1.96,0,0,6.87,0,0,0,0,0,0,14.72,0
 84-94,0,8.5,55.23,0,2.12,0,0,1.06,1.06,0,179.48,0,0,0,1.06,0,0,1.06,0,1.06,0,0,0,0,9.56,0
 96-106,0,9.84,87.43,0,5.46,1.09,1.09,0,1.09,0,259,0,1.09,0,4.37,0,1.09,3.28,1.09,0,2.19,0,0,2.19,20.76,0
108-118,0,13.79,78.13,0.77,0.77,0.77,0,0,0,0,210.64,0,0,0,1.53,0.77,0,9.19,0,0,0,0,0,0,23.74,0
120,0,15.68,84.27,0,5.88,3.92,0,0,1.96,0,205.78,1.96,0,0,0,0,1.96,9.8,0,1.96,0,0,0,0,15.68,0
