stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,ionocyte,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,3,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,1.64,0.82,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0.81,0.81,4.03,0.81,0,0,0.81,0,0,0.81,0,0
 48-58,1.72,0,0,0,0,0,0,0,0,0,0.57,2.87,0,0,0,0,0,0,0.57,0,0
 60-70,1.96,0,0,2.94,1.96,0.98,0,0,0.98,0,0,1.96,0,0,0,0.98,0,0,0.98,0.98,0
 72-82,10.8,0,0,0.98,0,0,0,0,0.98,0.98,0,2.94,0,0,0,4.91,0,0,0,5.89,0.98
 84-94,22.3,1.06,0,0,0,0,0,0,0,0,0,2.12,0,0,0,18.05,0,0,1.06,21.24,0
 96-106,67.76,0,0,2.19,0,0,2.19,1.09,0,0,0,1.09,1.09,0,0,13.11,0,0,1.09,38.25,0
108-118,59.75,0,0.77,0.77,0.77,0,3.83,0.77,0,0,0,6.89,0,0.77,0,16.09,0,0,0,43.66,0.77
120,35.28,0,0,1.96,0,0,3.92,1.96,0,0,0,1.96,0,0,0,17.64,0,0,0,19.6,0
