stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,1,7,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4,0,0,2,13,0,0,0,1,2,0,6,7,0,0,0,0,0
 24-34,0,0.82,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,3.28,24.63,0.82,0.82,0,3.28,0,0,0,6.57,0,0,0.82,0,0.82
 36-46,0,0,3.22,0,0,0,0,0.81,0.81,0.81,0,0.81,0,0,0,0,0,0,5.64,0,0,1.61,16.11,0,0,0,2.42,0,0.81,0,4.83,0,0,0,0,0
 48-58,0,0,0.57,0,0,5.74,0,0,0,1.72,0,0,0,0,0,0.57,0,0,3.44,0,0,2.87,18.36,2.3,0,0,0.57,0,0,0,3.44,0,0,1.72,0,0
 60-70,0,0,0,0,0,11.78,0,0.98,0,3.93,0,0.98,0,0,0,0.98,0,0,6.87,0,0,0,24.54,0.98,0,0,1.96,0,0,0,4.91,0,0,0.98,0,0
 72-82,0,0,0.98,0,0,8.83,0.98,0.98,0.98,4.91,0.98,0.98,0,0,0,0,0.98,0,16.69,0,0,0,34.36,1.96,0.98,0,2.94,0,0,0,2.94,1.96,0.98,0,0.98,0
 84-94,0,0,2.12,0,0,5.31,0,1.06,0,5.31,1.06,0,1.06,0,0,0,1.06,0,11.68,2.12,1.06,0,4.25,0,0,0,5.31,0,0,0,0,2.12,0,0,2.12,0
 96-106,0,0,1.09,0,1.09,8.74,0,0,0,6.56,2.19,0,2.19,1.09,0,1.09,1.09,0,8.74,0,1.09,0,18.58,0,6.56,1.09,8.74,0,0,0,3.28,1.09,1.09,1.09,0,0
108-118,0,0,6.89,0,0.77,8.43,0,0.77,0.77,3.06,2.3,0,6.13,0.77,0.77,1.53,1.53,0,11.49,0,0,1.53,22.98,0.77,1.53,0,3.06,0,0,0,0,0,0,2.3,0.77,0
120,0,0,1.96,0,0,5.88,0,1.96,0,5.88,3.92,0,7.84,0,0,0,0,0,9.8,1.96,0,0,13.72,0,0,0,1.96,0,0,0,3.92,3.92,0,0,0,0
