stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord,taste,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,1,1,0,0
 24-34,0,0,2.46,0,0,0,0,0,0,12.31,0,0,0,0,4.93,0.82,0,0,0,1.64,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,5.64,0,0,0,0,18.53,0,0,0,0,2.42,0,0
 48-58,0,0,2.3,0,0.57,0,0,0,0,1.72,0.57,0,0,0,8.61,0,0,0,0,0.57,0,0
 60-70,0,0,2.94,0,0.98,0.98,0,0,0.98,4.91,0,0,0,0,5.89,0,0,0,0,0.98,1.96,0
 72-82,0,0,3.93,0.98,1.96,0,0,0,0,2.94,0,1.96,0,0,9.82,0,0,0,0,0.98,6.87,0
 84-94,0,0,4.25,1.06,0,0,0,0,1.06,6.37,0,0,0,0,5.31,0,0,0,0,0,6.37,0
 96-106,0,0,7.65,0,1.09,0,1.09,2.19,2.19,5.46,0,2.19,0,0,2.19,1.09,0,0,0,0,6.56,0
108-118,0,0,3.06,0,1.53,0.77,0.77,1.53,4.6,3.83,0.77,0,0.77,0.77,0.77,0,0,0,0,0,6.13,0.77
120,0,0,9.8,0,5.88,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
