stage,endoderm,epidermis,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,4,0,2,1,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0,0.82,0.82,0,0,0,13.95,0,0,0,0,16.42,0,4.93,1.64,0
 36-46,0,0.81,4.83,0.81,0.81,0.81,0,0,0,0,0,0,0,0.81,0,0,15.31,0.81,0,0,0,12.09,0,5.64,0,0
 48-58,0,0.57,2.87,0,3.44,0,0,0,0,0,0,0,0,2.3,0,0,24.1,0.57,0,0,0,6.31,0,5.16,1.15,0
 60-70,0,1.96,5.89,0.98,1.96,0,0,0,0.98,0,0,0,0,0.98,0,0.98,29.45,0,0,0,0,8.83,0.98,1.96,0,0.98
 72-82,0,0,11.78,0.98,2.94,0,0,0.98,0,0,0,0,0,4.91,0,0.98,31.41,0,0,0,0,7.85,0,0.98,0,0
 84-94,0,3.19,6.37,0,0,0,1.06,0,0,1.06,0,1.06,0,0,0,0,6.37,0,0,0,0,15.93,0,0,0,0
 96-106,0,3.28,1.09,0,1.09,0,0,0,1.09,0,0,0,0,2.19,0,0,7.65,1.09,1.09,0,0,12.02,0,0,1.09,0
108-118,0,3.83,2.3,0.77,0.77,0,0,0,0.77,0,0,0,0,1.53,0.77,0,6.89,0,0,0,0.77,7.66,0,0,0.77,0.77
120,0,3.92,1.96,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,15.68,0,0,0,0,19.6,0,0,0,0
