stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,73,1,1,0,0,0,0,0
 24-34,0,0,0.82,0,1.64,0,0,0,0,0,0,0,0,0,0,2.46,0,0,3.28,18.88,0,0,0,0,0,0.82,0,0,100.14,1.64,3.28,0,0,1.64,0,0
 36-46,0,0,0,0,6.45,0,0,0.81,2.42,0,0,0,0,0,0,4.83,0,0,2.42,22.56,0,0,0,0,0,0,0,0,125.68,0,4.03,0,0,0,0,0
 48-58,0,1.72,0,0,5.16,0.57,0,0,1.72,0,0.57,0,0,0,0,1.72,0,0,4.02,32.13,0.57,0,0,0,0,0.57,0,0,118.78,0,5.16,0,0,1.15,0,1.15
 60-70,0,0.98,0,0,3.93,7.85,0.98,0,0.98,0,0,0,0.98,0,0,3.93,0,0,5.89,14.72,0,0,0,0.98,0,0.98,0,1.96,70.67,0,3.93,0,0.98,0,0,0
 72-82,0,1.96,2.94,0,9.82,13.74,0,0.98,0.98,0,0,0,0,0,0,7.85,0,0,2.94,35.34,0,0.98,0.98,0,0,1.96,0,0,32.39,0,4.91,0,0,0.98,0.98,0
 84-94,0,4.25,0,0,11.68,20.18,2.12,0,1.06,0,0,1.06,1.06,0,0,4.25,1.06,0,9.56,23.36,0,0,1.06,0,0,2.12,0,1.06,67.97,0,0,1.06,0,1.06,0,1.06
 96-106,1.09,5.46,3.28,2.19,8.74,24.04,0,1.09,5.46,3.28,0,1.09,0,1.09,0,13.11,0,1.09,6.56,25.14,1.09,2.19,1.09,1.09,0,5.46,0,0,44.81,0,0,0,0,2.19,0,0
108-118,0,1.53,0.77,0,4.6,29.11,0.77,0,4.6,1.53,0,0.77,0,0,0.77,8.43,0.77,0.77,3.83,28.34,0,0,0,0,0.77,3.06,0,0,40.6,0,0.77,0,0,1.53,0,0
120,0,1.96,1.96,0,5.88,17.64,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,19.6,0,0,1.96,0,0,0,1.96,0,17.64,0,0,0,0,0,0,0
