stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,830.21,12334.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527.12,0,0,0,0,0,0,0,0,0,0,0
  5-6,1189.15,13331.96,12.26,0,0,0,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0,0,312.61,36.78,0,0,98.07,0,263.57,0,0,0,0,0,0,0,0,0,0,0
  7-9,170.87,299.67,525.74,0,2.63,1085.66,0,0,0,0,0,368.02,0,0,0,0,0,0,0,0,0,8924.48,215.55,0,0,3233.32,0,15.77,23.66,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,223.43,254.9,0,37.76,610.51,0,0,0,0,0,84.97,0,0,0,0,0,0,0,0,0,5554.4,110.14,0,0,2306.73,0,6.29,25.18,6.29,188.82,0,6.29,3.15,0,0,0,0,0
 14-21,0,0,11,72,15,51,0,0,0,22,1,0,0,0,1,0,0,0,42,0,33,900,8,6,4,20,0,1,1,78,2,3,46,257,0,0,2,0,0
 24-34,0,0,1.64,33.66,4.1,431.77,0,0,1.64,51.71,0,0,0.82,1.64,2.46,2.46,3.28,1.64,209.32,1.64,50.07,2267.2,4.1,19.7,20.52,0,0,13.13,0.82,0,0.82,0,5.75,481.02,0,0,13.95,0,2.46
 36-46,0,0,0,21.75,4.03,1314.85,0,0,0,53.17,0.81,0,2.42,2.42,0,4.03,0.81,1.61,230.42,7.25,58.81,2034.31,4.03,13.7,8.86,0,0,4.83,0,0.81,0,0,0,459.23,0,0,14.5,0,1.61
 48-58,0,0,1.15,10.9,4.02,1205.56,0,0,1.72,52.22,1.72,0,1.15,1.15,0.57,1.72,0.57,0,226.08,10.33,36.72,830.87,1.15,2.87,8.03,0,0,5.16,0,0,1.15,0,0,103.28,0,0.57,8.03,0,0.57
 60-70,0.98,0,0,27.48,1.96,911.83,0.98,0.98,0.98,55.95,5.89,0,1.96,4.91,0.98,3.93,4.91,0,180.6,18.65,32.39,525.11,0,2.94,2.94,0,0,2.94,0,0,0,0,0,19.63,0,0,12.76,0,0
 72-82,0,0,0,15.71,0.98,245.42,0,0,0.98,52.03,3.93,0,2.94,2.94,1.96,0.98,1.96,0,136.45,4.91,17.67,282.72,0.98,2.94,3.93,0,0.98,1.96,0,0,0,0,0,7.85,0,0.98,5.89,0,0.98
 84-94,0,0,0,27.61,4.25,264.45,0,0,0,42.48,7.43,0,0,3.19,4.25,1.06,0,0,135.94,15.93,24.43,242.14,1.06,2.12,2.12,0,0,0,0,0,1.06,0,0,5.31,1.06,1.06,10.62,0,2.12
 96-106,0,0,0,10.93,2.19,136.61,0,0,0,18.58,4.37,0,1.09,7.65,1.09,1.09,2.19,0,50.27,1.09,9.84,161.74,0,1.09,3.28,0,0,1.09,0,0,0,0,0,2.19,0,0,6.56,2.19,0
108-118,0,0,0,6.13,3.06,115.66,0.77,0,0.77,26.04,3.06,0,0.77,5.36,0,0,2.3,0.77,32.94,1.53,7.66,160.09,0.77,1.53,0,0,0,1.53,0,0,1.53,0,0,1.53,0.77,0,5.36,0,0
120,0,0,0,13.72,5.88,148.94,0,0,1.96,21.56,1.96,0,1.96,7.84,1.96,0,0,0,33.32,1.96,13.72,213.62,1.96,0,3.92,0,0,1.96,0,0,0,0,0,0,0,0,7.84,0,0
