stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4,0,0,3,0,0,0,0,0,1,0,1,0,0,0,1,4,0,0,1,24,2,0,0,1,0,1,1,0,5,7,0,0,0,0,0
 24-34,0,4.1,0.82,0,7.39,0,0.82,1.64,0,0,0,0,4.93,0,0.82,0,0.82,4.1,0,0.82,2.46,53.36,1.64,0.82,0.82,0,0,0,0,0.82,0.82,9.03,0,0,0.82,0,0
 36-46,0,1.61,0,0,6.45,0,0,0,0,0,0,0,3.22,0,0,0,0.81,5.64,0,0,2.42,62.84,1.61,3.22,0,0,0,0,0,0,0,11.28,0,0,0.81,0,0
 48-58,0,2.87,0,0,18.94,0.57,0,1.15,4.02,0,0.57,0,1.72,0,1.15,0.57,4.02,12.05,0,0,3.44,80.33,1.72,2.3,1.72,0,0,0.57,0,0.57,0,5.74,0,0,0.57,0,3.44
 60-70,0,0.98,0,0,30.43,0.98,0,0.98,13.74,0.98,1.96,0.98,1.96,0.98,2.94,0,1.96,27.48,0,0,1.96,92.26,1.96,2.94,1.96,0,0.98,0,0,0,0,15.7,0,0,5.89,0.98,1.96
 72-82,0,1.96,0,0,23.56,0,0,2.94,21.6,0.98,0,0.98,0,0.98,4.91,0.98,1.96,25.52,0,3.93,0.98,80.5,0,5.89,2.94,0,0,0,0,0,0,9.82,0,0.98,14.72,1.96,2.94
 84-94,0,4.25,0,1.06,22.3,0,1.06,1.06,9.56,0,0,4.25,5.31,3.19,2.12,0,3.19,19.12,0,2.12,4.25,32.92,3.19,3.19,2.12,0,0,4.25,0,1.06,0,3.19,0,0,11.68,1.06,1.06
 96-106,2.19,5.46,2.19,1.09,17.49,1.09,0,2.19,14.21,1.09,1.09,4.37,1.09,2.19,6.56,0,2.19,19.67,3.28,3.28,3.28,42.62,3.28,0,2.19,0,0,1.09,0,0,0,3.28,1.09,0,14.21,1.09,0
108-118,0.77,1.53,0.77,3.83,17.62,0.77,0,3.06,16.85,1.53,0.77,4.6,6.89,0,3.83,5.36,7.66,23.74,2.3,2.3,3.06,39.83,0.77,4.6,3.83,0,3.06,0.77,0,0,0,1.53,0.77,0.77,11.49,2.3,4.6
120,0,5.88,1.96,1.96,15.68,1.96,3.92,0,9.8,0,0,1.96,3.92,0,5.88,1.96,1.96,33.32,0,3.92,0,50.95,0,3.92,3.92,0,1.96,0,0,0,0,7.84,0,0,11.76,0,0
