stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,6.29,0,0,0,0,0,0,56.65,6.29,0,0,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,10,4,2,0,0,0,63,1,0,0,0,0,4,0,0,75,0,4,7,2,0,39,0,1,163,0,0,0
 24-34,0,0,0,0.82,1.64,0,0.82,0,0.82,0,49.25,0,0,0,0,0,4.93,0,0,68.95,0.82,13.13,3.28,0,0,13.95,0,1.64,111.64,0,3.28,0
 36-46,0,0,0,0,1.61,0,4.03,0.81,0,0,27.39,0,0,0,0.81,0.81,1.61,0,2.42,88.62,0,9.67,1.61,0,0,4.83,0,0,85.4,0,0.81,0.81
 48-58,0,0,0,0,0.57,0,13.2,0,0,0.57,25.25,0,0,0,0,0.57,2.3,0,0,52.22,0,5.16,1.15,0,0,1.72,0,0,48.77,0,0,0
 60-70,0,0,0,0,0.98,0,45.15,0,0,0,15.7,0,0,0,0,1.96,3.93,0,0,58.89,0.98,7.85,2.94,0,0,1.96,0,0,28.46,0.98,0,0
 72-82,0,0,0.98,0,1.96,0,59.88,0,1.96,0,18.65,1.96,0,0,0,0,4.91,0,3.93,42.21,0,14.72,5.89,0,0,0,0,0,23.56,0,1.96,0
 84-94,0,0,1.06,0,3.19,0,49.92,0,0,0,14.87,0,0,0,1.06,2.12,1.06,0,1.06,13.81,0,8.5,7.43,0,2.12,4.25,0,0,13.81,0,0,0
 96-106,0,0,0,0,3.28,0,22.95,0,1.09,0,9.84,0,0,1.09,0,9.84,4.37,0,0,13.11,0,15.3,10.93,0,0,3.28,1.09,0,6.56,1.09,1.09,0
108-118,0,0,0,0.77,1.53,0,19.15,0,0.77,0,9.19,0.77,0,0,0,3.83,3.06,0.77,0,31.4,0,11.49,12.26,0,0,2.3,0.77,0,10.72,0,0,0
120,0,0,0,0,3.92,0,15.68,0,0,1.96,9.8,0,0,0,1.96,3.92,7.84,0,0,9.8,0,5.88,3.92,0,0,1.96,0,0,5.88,0,0,0
