stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,9.44,0,0,88.12,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,1,14,135,62,0,7,0,1,0,5,10,1,6,0,0,0,0,2,0,54,0,0,32,50,15,0,0,15,0,9,22,9,21,28,44,0,0,29,0,0
 24-34,0,0.82,5.75,22.16,11.49,0,3.28,0,3.28,0.82,9.03,0.82,0,4.1,0,0,0,0,1.64,0.82,45.15,0,0,17.24,34.48,5.75,1.64,1.64,0,0,36.12,0,1.64,1.64,5.75,22.16,0,0,71.41,0,3.28
 36-46,0,0.81,0,19.34,8.06,0,13.7,0,4.03,2.42,17.72,2.42,0,8.06,2.42,0,0,0,1.61,0,78.15,1.61,0.81,14.5,51.56,8.86,4.83,2.42,0,0,37.06,0,3.22,0,0,33.03,0,0.81,56.4,0,4.83
 48-58,0,0,0,10.33,18.94,0,20.08,0.57,2.87,2.87,24.67,1.15,0,3.44,0,0,0,0.57,2.3,1.15,41.31,0,0.57,3.44,20.66,2.3,2.3,0.57,0,0,21.8,0,0,0.57,0,31.56,0,0,24.67,0,2.3
 60-70,0,0.98,0,17.67,13.74,0,50.06,0.98,8.83,4.91,74.6,4.91,0,2.94,2.94,0.98,0.98,0,4.91,1.96,72.63,0,2.94,8.83,43.19,8.83,3.93,1.96,0,1.96,27.48,0,1.96,0,0,25.52,0,1.96,33.37,0.98,0.98
 72-82,0,0,0,19.63,35.34,0,94.24,1.96,6.87,4.91,126.63,5.89,0,5.89,0.98,0,1.96,0,1.96,0,93.26,0.98,3.93,10.8,42.21,3.93,7.85,0,0,0.98,17.67,0,0.98,0,0,16.69,0,0.98,50.06,0.98,4.91
 84-94,0,1.06,0,42.48,31.86,1.06,82.84,0,14.87,2.12,73.28,9.56,0,2.12,5.31,2.12,3.19,0,6.37,2.12,54.16,4.25,2.12,9.56,22.3,7.43,1.06,0,0,2.12,58.41,0,3.19,0,0,12.74,1.06,2.12,42.48,0,1.06
 96-106,0,2.19,0,38.25,25.14,0,81.96,1.09,16.39,0,89.61,6.56,0,4.37,15.3,3.28,1.09,0,5.46,0,78.68,1.09,3.28,4.37,41.53,6.56,6.56,2.19,0,2.19,91.8,0,2.19,0,0,12.02,0,2.19,63.39,1.09,1.09
108-118,0,0.77,0,60.51,13.02,22.21,58.21,1.53,24.51,2.3,87.32,14.55,0,6.89,20.68,7.66,4.6,0,15.32,0.77,62.81,0.77,5.36,6.13,41.36,11.49,3.06,0,0,4.6,99.58,0,1.53,0,0,9.96,0,3.06,62.81,1.53,6.89
120,0,3.92,1.96,41.16,3.92,11.76,41.16,3.92,9.8,0,60.75,11.76,1.96,1.96,25.48,1.96,0,0,15.68,0,54.87,3.92,5.88,3.92,39.2,5.88,1.96,0,0,3.92,62.71,0,5.88,0,0,7.84,0,3.92,31.36,3.92,1.96
