stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,3.15,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0
 24-34,0,0,0,4.93,0,0,1.64,0,0.82,0,0.82,0,0,0,0,0.82,0,0.82,0,0,4.93,0,0,0.82,34.48,0,3.28,0,0,0,3.28,0,1.64,0,2.46,7.39,0,0,0,0,0
 36-46,0,0,0,1.61,0,0,7.25,0,1.61,0,3.22,0,0,0.81,0.81,0,0,0,0,0.81,8.06,0,0,4.03,98.29,0.81,5.64,0,0,0,0.81,0,0,0,0,18.53,0,0,0.81,0,0.81
 48-58,0,0,0,2.87,0,0,26.4,0.57,0.57,0.57,10.33,0,0,0,0,0,0,0,0,0,16.07,0.57,0,2.3,145.75,0,6.31,1.15,0,0,4.59,0,0,0,0,26.97,0,0.57,1.72,0,0
 60-70,0,0.98,0,1.96,0,0,88.34,0.98,0.98,0.98,22.58,0.98,0,0.98,0,0.98,0,0.98,0.98,0,15.7,0.98,0,0,192.38,0.98,3.93,2.94,0,0,9.82,0,0.98,0,0,23.56,0,0,0.98,0,0
 72-82,0,0,0.98,7.85,0,0.98,107,0,0,0.98,24.54,0.98,0.98,0.98,2.94,1.96,0,1.96,13.74,0,31.41,1.96,0,1.96,181.61,0.98,4.91,0.98,0,0,13.74,0,0,0,0,17.67,0,0,1.96,0,0
 84-94,0,0,0,12.74,3.19,1.06,63.72,0,1.06,1.06,15.93,3.19,0,0,4.25,2.12,1.06,1.06,50.98,0,22.3,0,1.06,6.37,56.29,0,5.31,4.25,0,0,23.36,0,2.12,0,0,10.62,0,0,2.12,1.06,0
 96-106,0,0,0,7.65,3.28,1.09,49.18,1.09,2.19,0,16.39,2.19,0,1.09,2.19,2.19,0,3.28,145.35,3.28,17.49,1.09,0,3.28,69.94,0,4.37,6.56,1.09,1.09,26.23,1.09,2.19,0,0,6.56,1.09,1.09,1.09,0,2.19
108-118,0,0.77,0,13.79,2.3,3.83,32.17,0.77,3.83,1.53,9.96,2.3,0,0.77,3.06,1.53,1.53,1.53,252,0,8.43,1.53,0.77,2.3,70.47,0.77,6.13,3.06,0,0,26.04,0,0,0.77,0,0.77,1.53,0.77,0.77,0.77,3.06
120,0,0,0,11.76,5.88,1.96,19.6,0,0,0,25.48,1.96,1.96,0,0,1.96,0,1.96,66.63,0,3.92,5.88,0,3.92,76.43,1.96,1.96,1.96,0,1.96,27.44,0,0,0,0,5.88,1.96,0,1.96,1.96,0
