stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,18.88,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,5,6,0,0,0,142,1,0,0,0,0,0,0,0,3,0,0,1,132,6,0,0,12,0,4,0,0,13,908,0,0,1,0
 24-34,0,2.46,2.46,12.31,0.82,5.75,219.99,0.82,0,0,1.64,0,0,0,1.64,4.93,0,0,4.1,364.46,7.39,0.82,0.82,0,2.46,0,0.82,1.64,32.01,899.66,0,0,3.28,0
 36-46,0,1.61,0,8.06,0,6.45,154.69,0,0,0,0.81,0,0,0,0.81,4.03,0,0.81,4.03,292.46,0.81,0.81,0,0,0.81,0,0,0,0,760.55,0,0,0,0
 48-58,0,2.3,0,19.51,0,2.3,152.63,0,0.57,0,0,0.57,0,0,0,8.03,0.57,0,1.15,197.39,0,0,0,0,0.57,0,0,0,0,510.11,0,0,0.57,0
 60-70,0,0.98,0,19.63,0.98,0,150.17,0,0,0.98,0,0,0,0,0,7.85,0,0,0,140.36,0,0,0,0,0.98,0,0,0,0,167.84,0,0.98,0,0.98
 72-82,0,0,0,20.61,0.98,0.98,193.39,0,0,0,0,0,0.98,0.98,0,10.8,0,0,1.96,139.4,0,0,0,0,0.98,0,0,0,0,97.18,0,0.98,0.98,1.96
 84-94,0,3.19,0,23.36,1.06,0,179.48,1.06,0,0,0,0,1.06,0,0,4.25,0,0,0,110.45,0,0,0,0,0,0,0,0,0,104.08,1.06,0,0,0
 96-106,0,6.56,1.09,21.86,2.19,0,140.98,0,0,0,0,0,0,0,1.09,3.28,1.09,0,0,85.24,0,0,0,0,0,0,1.09,0,0,100.54,0,1.09,1.09,0
108-118,0,3.83,0,6.89,0,0,124.09,0,0,0,0,0,0,0,0,3.06,0,0,1.53,101.11,0,0.77,0,0,2.3,0,0,0,0,55.92,0.77,0,0,0
120,0,9.8,0,13.72,1.96,0,84.27,0,0,0,0,0,0,0,0,0,0,0,0,76.43,0,0,0,0,0,0,0,0,0,52.91,0,0,0,0
