stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.81,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,10.51,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,40.91,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,126,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,2,4,0,0,3,0,0,1,0,358,7,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,563.93,0,0,9.03,0,28.73,0,0,0.82,0,0.82,0,68.13,0,0,4.93,0,4.93,37.76,0.82,4.1,85.37,0,0,0,0,1455.38,0,0.82,0.82,0.82,14.78,0,0,4.1,0,0
 36-46,0,0,0,0,354.49,0,0,10.47,0,68.48,0,0.81,0,0,0,0,42.7,0,0,1.61,0,8.06,30.62,0,0.81,47.53,0.81,0,0,0,1311.63,0,0,0,0,8.86,0,0,2.42,0,0
 48-58,0,0,0,0,457.9,0.57,0,26.97,0,126.81,0,3.44,0,0.57,0,0,26.97,0,0,1.15,1.15,8.03,25.82,0,1.15,60.82,0,1.72,0,0,1141.3,0,0,0.57,0,13.2,0,0,0.57,0,1.15
 60-70,0,0,0,0,446.59,0.98,0,19.63,0,92.26,0.98,1.96,0,0,0,1.96,30.43,0,0,0,0,9.82,29.45,0.98,0.98,28.46,0,0.98,0,0,926.56,0,0,0,0,3.93,0,0,0,0,0
 72-82,0,0,0,0,583.11,2.94,0,23.56,0.98,147.25,0,7.85,0.98,0,0.98,0.98,59.88,0,0,0.98,0,24.54,47.12,0.98,1.96,47.12,0,1.96,1.96,0,934.54,0,0,0,0,2.94,0.98,0.98,0,1.96,0
 84-94,0,0,0,0,1001.5,2.12,0,6.37,0,276.13,1.06,3.19,2.12,0,0,2.12,100.89,2.12,1.06,0,0,15.93,70.09,1.06,1.06,20.18,0,0,1.06,0,2207.98,0,0,0,0,1.06,1.06,0,0,2.12,1.06
 96-106,0,0,1.09,0,1125.63,2.19,0,29.51,1.09,295.07,1.09,7.65,1.09,0,0,1.09,120.21,1.09,0,1.09,0,25.14,86.33,1.09,0,49.18,0,1.09,3.28,0,1961.66,0,0,0,0,2.19,0,0,1.09,1.09,1.09
108-118,0,0,0,0,1038.65,3.06,0.77,6.13,0,412.85,0.77,7.66,0.77,0,0.77,1.53,79.66,0.77,1.53,0,0,13.02,52.09,1.53,0.77,30.64,1.53,0,0.77,0,1490.56,0,0,0,0,0,0,0,0.77,0,0.77
120,0,0,0,0,736.88,0,0,0,0,239.09,0,0,1.96,0,0,0,47.03,0,0,0,0,11.76,39.2,0,1.96,27.44,0,0,1.96,0,903.46,0,0,0,0,0,0,0,0,0,0
