stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,22.03,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,26,3,0,2,0,0,0,2,1,0,4,0,0,0,0,0,0,22,0,0,37,33,18,0,1,1,0,16,0,38,2,465,1003,19,0,0,0,0,0
 24-34,0,0,0.82,18.06,0.82,0,13.13,228.2,0.82,1.64,4.1,0.82,0,5.75,0,1.64,0,1.64,1.64,0.82,27.09,0,0,61.56,129.7,8.21,0.82,2.46,0.82,0,23.8,0,1.64,1.64,269.24,558.18,33.66,0,0,8.21,0,0.82
 36-46,0,0,0,7.25,2.42,0,22.56,477.76,0.81,0.81,5.64,0,0,4.03,0,0.81,0,0.81,0,0.81,35.45,0.81,0.81,42.7,144.21,8.86,2.42,0,1.61,0.81,19.34,0,0.81,0.81,191.75,35.45,31.42,0,0,5.64,0,0
 48-58,0,0,0,6.31,0.57,0,80.33,460.19,1.72,4.59,18.36,0,0,1.72,0.57,0.57,0,0.57,1.15,1.72,51.64,1.72,4.02,57.38,207.14,2.87,0.57,2.87,0,0.57,6.89,0,0,0.57,156.65,0,47.63,0,0.57,5.74,0,4.59
 60-70,0,0,0,7.85,0,0,58.89,351.38,2.94,1.96,16.69,0,0,5.89,0,0.98,0,0,0,0.98,57.91,0,4.91,57.91,121.71,1.96,0,0.98,0.98,0.98,8.83,0,0,0,96.19,0,14.72,0,3.93,2.94,0,1.96
 72-82,0,0.98,0,6.87,4.91,0,72.64,254.25,0.98,1.96,23.56,1.96,0.98,0,1.96,0.98,0.98,1.96,0,1.96,81.48,1.96,2.94,63.81,93.26,1.96,0.98,1.96,0.98,1.96,7.85,0,0,0,53.99,0,12.76,0.98,1.96,5.89,5.89,1.96
 84-94,0,0,0,24.43,5.31,1.06,80.71,404.64,4.25,4.25,24.43,1.06,0,2.12,2.12,3.19,0,2.12,1.06,2.12,57.35,1.06,4.25,65.85,98.77,3.19,1.06,4.25,0,0,28.68,0,0,1.06,91.34,0,7.43,2.12,2.12,5.31,1.06,6.37
 96-106,0,0,0,20.76,15.3,3.28,89.61,649.15,4.37,6.56,29.51,2.19,0,3.28,3.28,1.09,3.28,5.46,1.09,1.09,64.48,2.19,1.09,80.87,107.1,0,2.19,4.37,0,3.28,27.32,0,0,0,89.61,0,9.84,1.09,2.19,10.93,8.74,3.28
108-118,0,0,0,19.92,2.3,0.77,40.6,511.66,4.6,3.06,19.92,3.06,0,3.83,4.6,1.53,4.6,0.77,7.66,1.53,60.51,0.77,0,93.45,113.36,0,2.3,0.77,0,3.06,21.45,0,0,0,70.47,0,3.83,1.53,3.06,6.89,3.06,2.3
120,0,0,0,13.72,5.88,0,25.48,297.89,9.8,1.96,11.76,0,0,1.96,5.88,0,0,0,0,1.96,35.28,0,0,111.71,50.95,0,1.96,3.92,0,3.92,9.8,0,1.96,0,21.56,0,3.92,0,0,7.84,1.96,0
