stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,134.06,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,15.77,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,179.38,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,4,2,0,0,0,0,0,0,0,110,0,0,1,0,1,0,0,0,1,4,0,0,0,0,37,0,1,1,0,0,0,0
 24-34,0,0,0,2.46,0.82,0,0,0,0,0,0,0,23.8,1.64,3.28,0.82,0,0.82,1.64,1.64,0.82,0.82,6.57,0,0,0,0,14.78,0.82,0,1.64,0,0,0,0.82
 36-46,0,0,0,2.42,0,0,0.81,0,0.81,0,0,0,0.81,0.81,2.42,0.81,0.81,0,3.22,0,0,0,3.22,0,0,0,0,9.67,0,0,0,0,0.81,8.06,8.06
 48-58,0,0,0,2.3,0.57,0,0.57,0,0.57,0,0,0,1.15,0,1.15,0,0,0,0,3.44,0,0,1.72,0,0,0,1.15,9.18,0,0,0,0,0,2.87,9.18
 60-70,0,0,0,0,0,0,1.96,0,0,0,0,0.98,0,0,0.98,0,0,0.98,1.96,4.91,0.98,0,2.94,0.98,0,0,0,12.76,0,0,0,0,0,0.98,6.87
 72-82,0,0,0,7.85,0,0,6.87,0.98,0,0.98,0.98,0.98,0,0,1.96,0.98,1.96,0.98,0,19.63,0.98,0,3.93,0,0,0,0,11.78,0,0,0.98,0,0.98,0.98,3.93
 84-94,0,0,0,6.37,1.06,0,9.56,0,1.06,0,0,2.12,3.19,0,1.06,0,0,0,0,9.56,0,2.12,1.06,0,1.06,0,0,38.23,0,0,0,2.12,1.06,2.12,10.62
 96-106,0,1.09,0,19.67,2.19,1.09,7.65,0,2.19,0,1.09,16.39,0,0,13.11,2.19,3.28,0,0,19.67,2.19,0,8.74,1.09,0,0,0,75.41,0,0,0,3.28,0,1.09,12.02
108-118,0,0,0,39.06,1.53,1.53,15.32,0.77,4.6,0,0,27.57,0,0.77,4.6,1.53,1.53,0,1.53,32.94,1.53,0.77,5.36,0.77,0,0,0,58.21,0,0,0,9.19,1.53,0.77,16.85
120,0,0,0,15.68,3.92,0,1.96,0,3.92,0,0,31.36,0,1.96,3.92,1.96,1.96,3.92,0,7.84,1.96,0,5.88,1.96,0,0,0,50.95,0,0,0,0,0,0,7.84
