stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,12,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,4,6,1,0,0,0,0,1,1,0,1,6,7,0,0,0,0,0
 24-34,0,0,7.39,0,0,5.75,0,0.82,0,1.64,0,0,0,0,2.46,0,0,0,0.82,4.1,0.82,0,2.46,22.16,1.64,0,0.82,0,0,6.57,0,0,1.64,1.64,18.88,0,0,2.46,0,1.64
 36-46,0,0,3.22,0,0,4.03,0,2.42,0.81,1.61,0,0,0,0.81,3.22,0,0,0,0,7.25,0.81,0,5.64,46.73,1.61,0,1.61,0,0,8.86,0,0,0.81,0,15.31,0,0,3.22,0,0
 48-58,0,0,2.87,0,0,3.44,0,0.57,0.57,4.59,0,0,0,0,0,0.57,1.15,0,1.15,13.2,0.57,0,4.02,36.72,1.72,0.57,0.57,0,0,2.87,0,0,1.15,0,12.62,0,0,0.57,0,1.72
 60-70,0,0,3.93,0,0,24.54,1.96,0,0,11.78,0,0,0.98,0,0.98,0,0,0,0,25.52,0,0,0.98,69.69,2.94,0,0.98,0,0,9.82,0,0,0,0,18.65,0,0,0.98,0,1.96
 72-82,0,0,0,3.93,0,34.36,1.96,0,2.94,18.65,0,0,0,2.94,0,0.98,0,0,0.98,30.43,0.98,0,2.94,93.26,0,0,1.96,0,0,1.96,0,0,0,0,6.87,1.96,0.98,6.87,0,1.96
 84-94,0,0,7.43,4.25,0,32.92,1.06,1.06,0,14.87,2.12,0,0,2.12,2.12,2.12,0,0,4.25,21.24,0,1.06,3.19,46.73,0,0,1.06,0,0,20.18,0,0,0,0,10.62,2.12,0,2.12,3.19,1.06
 96-106,0,0,8.74,1.09,1.09,32.79,0,2.19,1.09,20.76,0,0,0,1.09,1.09,1.09,4.37,1.09,1.09,24.04,2.19,0,3.28,30.6,0,0,5.46,0,0,6.56,0,0,0,0,2.19,1.09,0,3.28,1.09,0
108-118,0,0,11.49,0.77,6.13,16.09,0.77,2.3,0,11.49,3.83,0,0.77,3.83,1.53,8.43,2.3,0.77,1.53,16.09,0,1.53,4.6,42.13,0.77,0.77,5.36,0,0,9.19,0,0,2.3,0,0,2.3,0,1.53,0,3.83
120,0,0,3.92,0,0,17.64,5.88,1.96,0,15.68,5.88,0,0,0,0,1.96,0,0,1.96,11.76,1.96,0,1.96,50.95,1.96,1.96,3.92,0,3.92,1.96,0,1.96,1.96,0,3.92,0,0,1.96,0,0
