stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.56,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,10.51,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,3.15,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,2.46,0,0,0,0.82,0,0,9.85,0.82,0,0,87.83,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,0,9.67,0.81,0,0,68.48,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,1.15,0,0,1.15,0,0,0,6.89,1.15,0,0,35.58,0.57,0,0.57
 60-70,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0.98,0,1.96,0.98,0,0,33.37,0,0,0
 72-82,0,3.93,0,0,0,0,1.96,0,0,1.96,1.96,0,0.98,0,0,0.98,0,2.94,0,0,0,34.36,0,1.96,0
 84-94,0,6.37,1.06,0,0,1.06,0,0,1.06,3.19,3.19,3.19,0,0,3.19,0,0,3.19,0,0,0,111.51,0,0,0
 96-106,0,27.32,1.09,0,0,0,0,0,0,0,1.09,2.19,1.09,0,2.19,0,1.09,1.09,3.28,0,1.09,91.8,0,2.19,0
108-118,0,14.55,0,1.53,0.77,0.77,0,1.53,0,2.3,7.66,3.06,0.77,0,1.53,0,0.77,1.53,0,0,0,65.11,0,3.06,0
120,0,11.76,0,0,0,0,3.92,5.88,0,0,0,0,0,0,0,0,0,1.96,0,0,0,50.95,0,1.96,0
