stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,12.59,0,0,154.2,0,0,0,0,59.79,0,0,0,0,0,0
 14-21,0,0,0,5,1,0,3,0,0,0,2,0,17,0,0,0,0,0,13,0,0,17,23,0,0,0,0,0,2,26,481,1474,7,0,0,4,0,0
 24-34,0,0,0,4.93,0,0,8.21,177.3,0,0.82,3.28,0,9.85,0,0,0,0.82,0,7.39,0,0,42.68,110.82,1.64,0,0.82,0,0,4.1,1.64,241.33,573.78,22.98,0,0,12.31,0,0
 36-46,0,0,0,0.81,0,0,4.83,246.53,0,0,1.61,0,4.83,0.81,0.81,0,0,0,4.83,0,0,24.17,43.51,0,1.61,0.81,0,0.81,2.42,0,127.3,31.42,11.28,0,0,6.45,0,0
 48-58,0,0,0,0.57,0.57,0,14.92,133.7,0,1.72,3.44,0,2.3,0,0,0,0,0.57,8.03,0,0,39.02,40.17,0.57,0,0.57,0,0,1.72,0,71.73,0,10.9,0,0,1.72,0,0
 60-70,0,0,0,0.98,0,0,10.8,115.82,0,0,2.94,0,1.96,0.98,0,0,0,0,0.98,0,0,38.28,23.56,0.98,0,0,0,0,3.93,0,50.06,0,2.94,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,10.8,90.31,0,1.96,1.96,0.98,0.98,0,0,0,0,0,6.87,0,0,20.61,22.58,0,0,0,0.98,0.98,0,0,32.39,0,0.98,0,0,0,0,0
 84-94,0,0,0,4.25,0,0,4.25,123.2,0,0,4.25,0,0,0,0,0,1.06,0,4.25,0,1.06,29.74,16.99,0,2.12,0,0,0,3.19,0,52.04,0,1.06,1.06,1.06,1.06,0,0
 96-106,0,0,0,4.37,0,0,10.93,177.04,1.09,1.09,2.19,0,5.46,2.19,0,0,2.19,0,16.39,1.09,0,22.95,18.58,0,3.28,1.09,1.09,2.19,1.09,0,54.64,0,0,0,0,3.28,1.09,2.19
108-118,0,0,0,1.53,0.77,1.53,8.43,204.51,0,0,2.3,0,2.3,0,0,0.77,0,0,9.96,0,0,37.53,16.85,0,0,0.77,0,0.77,3.83,0,55.15,0,0,0,0,0.77,0,0.77
120,0,0,0,1.96,0,0,7.84,148.94,0,0,1.96,0,1.96,0,1.96,0,0,0,1.96,0,1.96,39.2,23.52,0,0,0,0,0,3.92,0,31.36,0,0,0,0,0,1.96,0
