stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,hatching_gland,heart,ionocyte,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,18.88,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,3,0,0,12,0,0,1,0,0,0,1,7,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,3.28,0,0,28.73,0.82,0,0,0,0,0,0,8.21,0.82,0,0
 36-46,0,0,0,0.81,0.81,0.81,0,0,0,0,1.61,0,0.81,97.49,0.81,0,0,0,0,0,0,19.34,0,0,0
 48-58,0,0,0,0,5.74,0.57,1.72,0,0,0,2.3,0,0.57,91.23,0,0,0,0,0,0,0,21.23,0,0,0
 60-70,0,0,0.98,0,17.67,0,2.94,0,0,0,5.89,0.98,0,218.88,0.98,0,0,0,0,0,0,34.35,0,0,0
 72-82,0,0,0,0,20.61,0.98,5.89,0,0.98,0,13.74,0,0.98,144.3,0.98,0,0,0.98,0,0,0,16.69,0,0.98,0
 84-94,0,0,0,4.25,18.05,0,3.19,0,0,1.06,7.43,0,0,84.96,1.06,1.06,0,0,0,0,0,11.68,0,2.12,0
 96-106,0,0,0,2.19,19.67,0,7.65,0,0,0,5.46,1.09,0,64.48,4.37,2.19,0,0,2.19,0,0,4.37,0,0,1.09
108-118,0,0,0,1.53,9.96,0,5.36,0,0,0.77,6.13,0.77,0.77,94.21,0,3.06,0,0,0,0,0,6.13,0.77,0,0.77
120,0,0,0,0,17.64,0,1.96,0,0,0,9.8,0,0,125.43,0,1.96,0,0,0,0,0,3.92,1.96,0,0
