stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,14,0,1,0,0,2,0,0,0,0,0,2,0,2,0,0
 24-34,0,0,1.64,0.82,0.82,0,0,0,0.82,13.95,0,2.46,0,0.82,5.75,1.64,0,0.82,0,0,0,0,4.1,1.64,0
 36-46,0,0,0,0,3.22,0,0,0,0,8.86,0,1.61,0,0.81,6.45,0,0.81,0,0,0,0,0.81,2.42,0,0
 48-58,0,0,0,0,2.87,0.57,1.15,0.57,0,24.1,0,0.57,0,0,9.18,0,0,0,0,0,0,0,1.72,0,0
 60-70,0,0,0,0,4.91,0,0,0,0,18.65,0,2.94,0,0,2.94,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,2.94,0,0,0,0,37.3,0,0,0,0,4.91,0,0.98,0,0,0.98,0,0.98,0,0,0
 84-94,0,1.06,0,1.06,2.12,0,1.06,0,0,42.48,0,1.06,0,0,2.12,0,0,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,0,5.46,0,1.09,1.09,0,69.94,1.09,1.09,1.09,0,0,0,0,0,0,1.09,0,0,0,0,1.09
108-118,0,0,0,0,3.83,0.77,0,0.77,0,50.55,0,1.53,0,0,0.77,0,0,0,0,1.53,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,50.95,0,1.96,0,0,5.88,0,0,0,0,0,0,1.96,0,0,0
