stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,1,5,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,6,55,2,0,0,1,0,0,5,0,6,13,30,0,0,0,0
 24-34,1.64,0,6.57,0,0,6.57,17.24,0.82,0.82,0.82,0,2.46,0,0.82,0,0.82,0,0.82,13.95,0,0,11.49,85.37,0,2.46,0.82,0,0,1.64,0,0,17.24,28.73,22.98,0,7.39,0,0.82
 36-46,0,0,1.61,0,0,8.06,46.73,0.81,0.81,2.42,0,0,0,2.42,0.81,0,0.81,0,16.11,0,0,5.64,68.48,0.81,0,0.81,0.81,0,4.03,0,1.61,9.67,0,9.67,0,1.61,0,0.81
 48-58,0,0,0.57,0,0,33.28,42.46,0,1.15,4.02,0,0.57,1.15,0.57,0,0.57,0.57,0,18.94,0,0.57,10.9,56.23,0.57,1.72,1.15,0,0.57,2.87,0,0,12.05,0,20.08,0.57,4.02,0.57,0.57
 60-70,0,0,2.94,0,0,47.11,42.21,0,0,3.93,0,3.93,0.98,0.98,0,1.96,0,0.98,31.41,0,0,7.85,69.69,0,0,0.98,0,0.98,0,0,0.98,9.82,0,6.87,1.96,6.87,0,0
 72-82,1.96,0,2.94,0,0,41.23,23.56,0,3.93,8.83,0.98,2.94,5.89,0.98,0,0.98,0.98,0,13.74,0,0,3.93,51.05,0,0,1.96,0,0,0.98,0,0,2.94,0,5.89,0.98,4.91,0,0
 84-94,1.06,0,4.25,0,0,22.3,10.62,1.06,1.06,5.31,0,1.06,7.43,3.19,2.12,1.06,0,1.06,12.74,0,1.06,2.12,32.92,0,1.06,3.19,0,0,0,0,0,3.19,0,1.06,1.06,2.12,0,0
 96-106,0,0,4.37,2.19,0,28.41,38.25,0,2.19,7.65,1.09,4.37,8.74,7.65,0,2.19,0,0,13.11,1.09,2.19,8.74,34.97,0,0,0,0,1.09,7.65,0,0,15.3,0,2.19,0,4.37,0,0
108-118,0,0,1.53,1.53,0.77,17.62,29.87,0.77,0,5.36,0.77,0.77,9.19,0,1.53,2.3,0,0,12.26,0.77,1.53,6.89,19.15,1.53,2.3,1.53,0,0.77,3.06,0,0,15.32,0,1.53,0,3.83,0,0
120,0,0,1.96,1.96,0,11.76,11.76,0,0,5.88,0,0,13.72,1.96,0,1.96,0,0,7.84,0,0,0,19.6,0,5.88,0,0,0,5.88,0,0,1.96,0,3.92,0,5.88,0,0
