stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,5.26,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,6.29,0,0,0,3.15,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,11,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,4,8,16,0,0,0,0,5,0,1,1,1,2,3,0,0,0,0,0
 24-34,0,0,0,0,17.24,0,0,4.1,1.64,0,0,0,0,0.82,0,0.82,0,0,0,2.46,6.57,0,0,4.1,27.09,2.46,0.82,0,0,0,26.27,0,0,2.46,0,0,7.39,0,0,8.21,0,0
 36-46,0,0,0,0,14.5,0,0,1.61,2.42,0,0.81,0,0,0.81,0,0.81,0,0,0,5.64,14.5,0,0,5.64,14.5,3.22,5.64,0.81,0,0,30.62,0,0,1.61,0,0,8.06,0,0,0.81,0,2.42
 48-58,0,0,0,0,4.59,0,0,2.87,4.59,0.57,1.72,0.57,0,2.87,0,0,1.15,0,0,2.87,14.92,1.15,1.15,3.44,10.33,2.87,2.3,0,0,0,10.9,0,0,0,0,0,4.02,0,0,2.87,0,1.72
 60-70,0,0,0,0,9.82,0,0,23.56,4.91,0.98,9.82,0.98,0,0,0,0,0,0,0,0.98,14.72,0.98,0.98,2.94,5.89,3.93,5.89,2.94,0,0,10.8,0,0,0.98,0,0,4.91,0,0.98,1.96,0,0.98
 72-82,0,0,0.98,0,9.82,0,0,62.83,5.89,0,14.72,1.96,0,1.96,0.98,0,0,0.98,0,0.98,29.45,0,1.96,4.91,15.71,0,14.72,3.93,0,0,13.74,0,0,0.98,0,0,0.98,1.96,0.98,2.94,0.98,0
 84-94,0,0,0,0,32.92,0,0,58.41,9.56,0,10.62,4.25,0,0,0,2.12,0,1.06,1.06,5.31,23.36,1.06,5.31,2.12,14.87,3.19,5.31,2.12,0,1.06,23.36,0,0,1.06,0,0,2.12,3.19,0,5.31,1.06,2.12
 96-106,0,0,0,0,31.69,1.09,1.09,59.01,14.21,0,12.02,8.74,0,2.19,0,0,3.28,1.09,0,5.46,22.95,0,3.28,2.19,20.76,3.28,15.3,5.46,0,0,17.49,0,0,1.09,0,0,1.09,3.28,0,3.28,0,1.09
108-118,0,0,0.77,0.77,19.92,0.77,2.3,50.55,13.79,0,12.26,5.36,0,0,0.77,0,2.3,1.53,1.53,3.83,14.55,0.77,0.77,0,16.09,0.77,12.26,1.53,0,0,12.26,0.77,0,1.53,0,0,0.77,6.13,0,5.36,0,1.53
120,0,0,0,0,17.64,0,5.88,74.47,11.76,0,7.84,0,0,0,0,0,5.88,0,0,1.96,7.84,0,0,1.96,21.56,5.88,15.68,0,0,1.96,3.92,0,0,1.96,0,0,1.96,1.96,0,3.92,0,0
