stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,39.53,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,30.65,324.87,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,5.26,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,99.89,2.63,0,36.8,0,2.63,0,0,0,0,0,0,0
 10-12,0,9.44,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,116.44,0,0,25.18,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,1,1,1,2,0,0,0,0,0,0,0,0,2,0,2,22,0,0,0,0,1,6,0,1,1,7,1,0
 24-34,0,0,0,1.64,0,2.46,0,0,0,0,0,0,0,0,0.82,0,2.46,23.8,0,0,0,0.82,0,0,0.82,0,0,4.1,0,0.82
 36-46,0,0,0,0,0,1.61,0,1.61,0,0,0,0,0.81,0,1.61,0,0,20.95,0,0,0,0,0,0.81,0,0,0,4.03,0,0
 48-58,0,0,0,0,0,8.03,0,2.87,0,0,0,0,0,0,1.72,0,0,9.75,0,0,0,0,0,0,0,0,0,5.16,0,0
 60-70,0,0,0,0.98,0,3.93,0.98,0.98,0,0,0.98,0,0,0,3.93,0.98,0.98,10.8,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.94,0,3.93,0.98,0,0,0,0,0,4.91,0,0.98,15.71,0,0,0,0,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,0,0,0,8.5,0,2.12,1.06,0,0,0,0,0,4.25,0,0,6.37,0,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,1.09,0,1.09,0,0,1.09,1.09,0,0,2.19,0,0,2.19,0,1.09,0,1.09,0,0,0,0,0,0,2.19,0
108-118,0,0,0,1.53,0,0.77,0,0,0,0,0,0,0,0,3.06,0,0.77,6.13,0.77,0.77,0,0,0,0,0,0,0,0.77,0.77,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96,1.96,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,1.96,0
