stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,490.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,10.51,15.77,0,18.4,0,0,0,57.83,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,948.97,15.77,0,0,191.9,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,22.03,0,0,0,34.62,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,409.11,3.15,0,0,132.17,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,29,0,0,18,1,0,1,2,0,0,0,0,0,0,2,0,13,0,10,89,3,0,2,0,0,2,12,0,11,34,0,0,0,0,0
 24-34,0,0,0,1.64,12.31,1.64,0,22.98,0.82,0.82,0.82,0.82,0,0,0,1.64,0.82,0,0,0.82,15.6,0,8.21,153.5,0.82,0,4.1,0,0,17.24,0,2.46,0,27.09,0,0,4.93,0,0.82
 36-46,0,0,0,0,7.25,0,0,12.89,0,0.81,5.64,0.81,0,0,0,0,2.42,1.61,0.81,0.81,17.72,0,4.03,91.85,0.81,0,3.22,0,0,11.28,0,0,0,24.98,0,0,2.42,0,0.81
 48-58,0,0,0,0,1.15,0,0,20.08,0,0.57,16.64,0.57,0,1.15,0,0,1.72,1.15,0,0.57,25.25,0.57,1.72,33.85,0,0,1.72,0,0.57,4.02,0,0,0,15.49,0,0.57,2.87,0,0.57
 60-70,0,0,0,0,6.87,0,0,9.82,0.98,0.98,21.59,0.98,0,0,0.98,0,0.98,0,0.98,2.94,26.5,0,3.93,23.56,0,0,0,0,0.98,5.89,0,0.98,0,3.93,0,0,1.96,0.98,0.98
 72-82,0,0,0.98,0,2.94,0,0,12.76,0,2.94,12.76,0.98,0,0.98,0,0,2.94,0.98,0.98,0,33.38,0.98,4.91,17.67,0,0,1.96,0,0.98,1.96,0,0.98,0,0.98,0,0.98,6.87,0,0.98
 84-94,0,0,0,0,2.12,0,1.06,15.93,1.06,1.06,16.99,2.12,0,0,3.19,0,7.43,0,2.12,3.19,25.49,1.06,0,12.74,1.06,0,1.06,0,0,9.56,0,2.12,0,2.12,0,3.19,6.37,0,1.06
 96-106,0,0,0,0,4.37,1.09,0,18.58,2.19,1.09,8.74,2.19,0,3.28,2.19,0,6.56,1.09,0,0,14.21,0,1.09,7.65,0,3.28,1.09,0,0,9.84,0,0,0,1.09,0,0,4.37,1.09,2.19
108-118,0,0,0,0,6.13,0,2.3,18.38,1.53,0.77,9.96,1.53,0,0,1.53,1.53,9.19,0,0.77,0.77,21.45,0,2.3,12.26,0,0,0.77,0,0,6.89,0,1.53,0,0,1.53,0,3.06,0,1.53
120,0,0,0,0,15.68,0,3.92,11.76,0,0,13.72,5.88,0,0,5.88,0,9.8,0,1.96,0,13.72,0,3.92,17.64,0,0,0,0,0,7.84,0,0,0,0,0,0,5.88,0,0
