stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,177.76,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,25.18,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,1,19,0,0,0,0,0,1,6,0,3,7,0,0,0,0
 24-34,0,0,0,0.82,3.28,0,0,6.57,0,0,0,0.82,0,0,0,0,0,0,0,0,4.93,0,0,4.93,41.04,0,2.46,0,0,4.1,0,0,0.82,1.64,9.03,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,0,12.89,0.81,0.81,0,1.61,1.61,0,0,0,0,0,0.81,0,15.31,0,0,1.61,74.12,0.81,1.61,0,0,5.64,0,0,0,0,25.78,0,0,0,0
 48-58,0,0,0.57,0,1.15,0,0,13.2,0,0,0,5.74,0,0,0,0,0,0,0.57,0.57,12.05,0,0,0.57,50.49,1.15,1.72,0,0,2.3,0,0,1.15,0,13.77,0.57,0.57,0,0.57
 60-70,0,0,0,0,0,0.98,0,37.3,0,0,3.93,4.91,0.98,0,0,0,0,0,0,0,23.56,0.98,0.98,1.96,81.47,0,0.98,0,0,3.93,0,0,0,0,8.83,0,0,0,0
 72-82,0,0,0.98,0,0,0.98,0,17.67,0,0,3.93,6.87,0.98,0,0,0.98,0,1.96,0,0,16.69,0.98,1.96,1.96,38.28,0,0,0,0,5.89,0,0,0,0,2.94,0,4.91,0.98,0
 84-94,0,0,0,0,2.12,1.06,0,20.18,1.06,1.06,0,9.56,1.06,0,0,0,0,0,0,0,12.74,0,2.12,0,23.36,0,0,4.25,0,8.5,0,0,0,0,7.43,0,2.12,0,0
 96-106,0,0,0,0,2.19,3.28,0,14.21,0,0,1.09,6.56,0,0,2.19,0,1.09,0,0,0,9.84,1.09,2.19,0,25.14,0,0,1.09,0,6.56,0,0,0,0,2.19,1.09,2.19,2.19,0
108-118,0,0,0,0,4.6,1.53,0,9.19,0,2.3,0.77,2.3,0,0,0,0,0.77,0,0,0.77,6.89,0,0.77,1.53,25.28,0,0.77,2.3,0,6.13,0,0,0,0,1.53,0,2.3,0,0
120,0,0,0,0,9.8,0,1.96,5.88,0,0,0,7.84,0,0,0,5.88,1.96,1.96,0,0,5.88,0,0,1.96,21.56,1.96,0,0,0,5.88,0,0,1.96,0,1.96,0,1.96,0,0
